Resultado obtido via SPG com funcao penalizada por 10E+26 quando x > 0.1y
Resultado apenas utilizando SPG
Resumo SPG
npun = 100
ndim = 2
f_SPG = 921.4270631728488
||g_SPG|| = 74.24157476901576
x_min = 4.023363882480257 | x_max = 4.907817912887587
y_min = 48.606247811406696 | y_max = 49.501800197509446

metodo	ponto	x	y
SPG	1	4.796472070572651	48.73246896206979
SPG	2	4.645934548684612	49.41369925346761
SPG	3	4.693176867167754	49.39408364618358
SPG	4	4.036120347437588	49.232551292052364
SPG	5	4.557996789169507	48.704001169738135
SPG	6	4.65035397360039	49.37744641877052
SPG	7	4.665235186312567	49.491248742502286
SPG	8	4.676254471871154	49.39653969919724
SPG	9	4.475423407568007	48.73126058833625
SPG	10	4.555561469307935	48.68274600114585
SPG	11	4.769430184705181	48.77628690867648
SPG	12	4.46625792480292	48.68407304441021
SPG	13	4.522372426751109	48.81178524032825
SPG	14	4.637307659258557	49.43325513885584
SPG	15	4.49144513388734	48.74745460148428
SPG	16	4.4773024376274355	48.627775315180834
SPG	17	4.630640308482497	48.714621167839226
SPG	18	4.6898789225405455	49.33924506866277
SPG	19	4.094290650868436	49.2844610101842
SPG	20	4.7684304864181035	49.38808614070747
SPG	21	4.430555895576099	48.606247811406696
SPG	22	4.625572581449184	49.442854495706804
SPG	23	4.702686412225385	49.47078728944643
SPG	24	4.5257895176323615	48.710942278566016
SPG	25	4.44957300630082	48.696475019176326
SPG	26	4.7067609664845325	49.497629894397285
SPG	27	4.511416773959427	48.68622365228482
SPG	28	4.542677854732389	48.73526431069532
SPG	29	4.670614740327607	49.42817685588118
SPG	30	4.518421720337791	48.67340968408593
SPG	31	4.6491540176914015	48.63392390898509
SPG	32	4.752160751155128	49.32211703080886
SPG	33	4.4948557415813095	48.70839142978091
SPG	34	4.6444429718731834	48.661509860579216
SPG	35	4.606386603364451	49.418576518059595
SPG	36	4.51698347439885	48.68776720373794
SPG	37	4.693904057430696	48.81490015552399
SPG	38	4.677826171257227	49.4478828929254
SPG	39	4.744671734916054	49.435991273966856
SPG	40	4.54124634665526	48.75048011910823
SPG	41	4.907817912887587	49.078179128875874
SPG	42	4.761290074737747	49.46879755224559
SPG	43	4.633415903537357	48.859186062062065
SPG	44	4.749967978562221	49.41740015537105
SPG	45	4.530489094893522	48.67522881261734
SPG	46	4.672750715534556	49.305235724328966
SPG	47	4.684190308192721	49.430401263917624
SPG	48	4.71328981681455	49.36143960813035
SPG	49	4.776536731783037	48.86885813554269
SPG	50	4.724270032593924	49.363780823963154
SPG	51	4.5495201383412684	48.71242640163131
SPG	52	4.630415722981466	49.42909776939989
SPG	53	4.575044798575772	48.74714205965141
SPG	54	4.633218426342236	49.370918821322554
SPG	55	4.683832184050525	49.483205338385886
SPG	56	4.809599085166355	49.40083380576567
SPG	57	4.824089226934996	49.27184257002367
SPG	58	4.105825675547535	49.342504390696085
SPG	59	4.458080194634144	48.70541702315248
SPG	60	4.071973264923671	49.2482846927149
SPG	61	4.709066616753828	49.43459210899974
