cenario,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,converged,status,f_x,minimizer
twin dim2,2,5.857138585527217e-11,3.325640078292292e-8,164.737374501,10,5,true,gradient_converged,5.797726237302131e-19,"[0.20000000003018426, 0.1499999999799164]"
twin dim10,10,0.4739511620433554,7939.021933642851,967.946573795,46,17,false,regularization_stalled,37.96241997637975,"[0.24372501719938078, 0.24977357248340734, 0.16745740695477213, 0.056289381963196, 0.09232594998444396, 0.1570382170553697, 0.18090079999215547, 0.19867739610110363, 0.2626153174532135, -0.10453161739944813]"
real dim2,2,0.14214997991499542,48.29157221137165,1105.183563005,69,28,false,regularization_stalled,3.41491823748188,"[0.0872431327270631, 0.15532973758160734]"
real dim10,10,0.04575423615485317,0.3539598728668191,1307.71929832,60,24,false,regularization_stalled,0.3537930713132782,"[0.31307869943953215, 0.15075534676772137, -0.017193071027609353, 0.18861606522316635, -0.06038284728241105, 0.018665439597200767, 0.03163330154839976, -0.0056013375697276935, 0.12459840196847138, 0.17768502779144565]"
