method,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,converged,status,f_x,minimizer
BFGS,10,0.051517941317367005,126.09079278220749,6253.504918859,221,61,false,alpha_too_small,0.44854260891096437,"[0.4988402337301895, 1.2640596474707265e-5, 0.04664803594711209, 0.13419502167232253, 0.07443157819492956, 0.02328251041342661, 0.022775351047823068, 0.05549240413933472, 0.0001970813120302032, 0.1387235832025865]"
BOBYQA,10,0.046780883677159414,0.8674386628724613,9120.548349374,772,0,true,SUCCESS,0.36984823211709056,"[0.28093195337929794, 0.273011157423444, 0.011556766263290252, 0.16922349828754069, 0.011225623850180567, 0.0070584452784283064, 0.032529398650661547, 0.006756291001878759, 0.1641444758313984, 0.1870810426331044]"
ffjm2,10,0.04575423615485317,0.7079197457336379,1258.191632317,60,24,false,regularization_stalled,0.3537930713132782,"[0.31307869943953215, 0.15075534676772137, -0.017193071027609353, 0.18861606522316635, -0.06038284728241105, 0.018665439597200767, 0.03163330154839976, -0.0056013375697276935, 0.12459840196847138, 0.17768502779144565]"
