method,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,converged,status,f_x,minimizer
BFGS,10,1.0000000000000002e27,0.0,8451.99744167,743,66,false,NoObjectiveChange,1.4922573451881473,"[0.16928461018799634, 0.0011174604688416866, 0.1426757386399639, 0.20964193442771467, 0.09997206274371119, 0.15641622070330724, 0.10773130852194478, 0.10218090386968559, 0.49941525026427575, 0.163287881427624]"
BOBYQA,10,0.00036803735427536527,0.12610271879543014,12270.859226774,1000,0,false,MAXEVAL_REACHED,2.2891302509999816e-5,"[0.18983719929318463, 0.23390531215630278, 0.20790747675618018, 0.16510331561843042, 0.19098857123652935, 0.17194286067324674, 0.17516428223757216, 0.1429821651515801, 0.1615786074306569, 0.1513712055363403]"
ffjm2,10,4.379046844356319e-6,0.001018052744498614,442.467665461,15,9,true,gradient_converged,3.2407526637963312e-9,"[0.20401332500821218, 0.19687173908477243, 0.18715451358698582, 0.18607398232491146, 0.17266860789001012, 0.17757211945569207, 0.16643687205751875, 0.15960693259795228, 0.15527808828043105, 0.14993155594086582]"
