problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh07,3,3,mads,2.3370433457419528e-7,4.6740866914839055e-7,0.00039471874761167624,0.009455413808132014,504,504,0,1.123256223,false,1,"[-1.0, 0.0, 0.0]","[0.9999486705, -0.00012, -0.00014833333333]"
mgh08,3,15,ipopt,0.004107438653289491,0.008214877306578982,0.02340210433070636,8.735989691438939e-10,27,83,29,0.008167492,true,LOCALLY_SOLVED,"[1.0, 1.0, 1.0]","[0.08241055984883934, 1.1330360943340996, 2.343695176330117]"
mgh08,3,15,bfgs,0.004107438653289492,0.008214877306578983,0.023402104330706365,7.394161492709181e-10,27,34,28,0.000115197,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055957207155, 1.1330360875689756, 2.3436951829426325]"
mgh08,3,15,bobyqa,0.004107438653289484,0.008214877306578968,0.023402104330706344,1.5203667108725488e-9,920,920,0,0.00171869,true,XTOL_REACHED,"[1.0, 1.0, 1.0]","[0.0824105589569617, 1.1330360710462235, 2.343695198074634]"
mgh08,3,15,mads,0.004108422507797467,0.008216845015594934,0.023404906915139162,0.002764237112042865,441,441,0,1.00662188,false,1,"[1.0, 1.0, 1.0]","[0.0818359121637, 1.125891, 2.34966404944444]"
mgh09,3,15,ipopt,5.6396638480936745e-9,1.1279327696187349e-8,2.742180117617775e-5,6.175475641884829e-11,5,11,7,0.001514,true,LOCALLY_SOLVED,"[0.4, 1.0, 0.0]","[0.3989561378560884, 1.000019084487775, 2.0738689582908452e-19]"
mgh09,3,15,bfgs,5.639663848431548e-9,1.1279327696863096e-8,2.742180117699917e-5,1.5521307719980087e-9,4,6,5,3.4792e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561382713217, 1.0000190844570773, 1.225054448470418e-20]"
mgh09,3,15,bobyqa,3.4936011726562053e-7,6.987202345312411e-7,0.0002158271275089149,0.0015416274591382173,38,38,0,9.7209e-5,false,XTOL_REACHED,"[0.4, 1.0, 0.0]","[0.39944378881978737, 1.000559316957786, -7.538701225367359e-8]"
mgh09,3,15,mads,3.4130188110145836e-7,6.826037622029167e-7,0.00021332350428444224,0.0011216840947492533,330,330,0,0.644985077,false,1,"[0.4, 1.0, 0.0]","[0.39876836, 1.00117519, 0.000945]"
mgh10,3,16,ipopt,6.340917181458494e6,1.2681834362916987e7,890.289080963207,0.017529965167123764,260,1271,262,0.07646008,true,LOCALLY_SOLVED,"[0.02, 4000.0, 250.0]","[2.2450593399985737e8, 2606.6587155903785, -345.4418792537333]"
mgh10,3,16,bfgs,43.97292758504964,87.94585517009928,2.344486286616154,2.281500221901915,386,552,386,0.00158252,true,step_converged,"[0.02, 4000.0, 250.0]","[0.005609636498023731, 6181.346342284814, 345.2236344898585]"
mgh10,3,16,bobyqa,1.9250059284446854e7,3.850011856889371e7,1551.2115943854521,9.54717801736678e9,44,44,0,0.000105912,false,XTOL_REACHED,"[0.02, 4000.0, 250.0]","[0.027692227804321862, 4220.256075722671, 247.77430756449903]"
mgh10,3,16,mads,2.8792462820488494e7,5.758492564097699e7,1897.1183022049684,33.129591343461804,1038,1038,0,2.628069867,false,1,"[0.02, 4000.0, 250.0]","[400780.5085520242, 311.78400044495044, -171.38335721701281]"
mgh11,3,100,ipopt,6.686854989612208e-23,1.3373709979224416e-22,1.1564475768154999e-12,5.314715480850006e-11,38,180,40,0.014870388,true,LOCALLY_SOLVED,"[5.0, 2.5, 0.15]","[50.00000000313206, 24.999999999902716, 1.500000000020807]"
mgh11,3,100,bfgs,2.268388028358867e-20,4.536776056717734e-20,2.12997090513409e-11,7.169397077368946e-10,41,50,42,0.001280771,true,gradient_converged,"[5.0, 2.5, 0.15]","[50.00000004101474, 24.99999999797984, 1.5000000002059586]"
mgh11,3,100,bobyqa,4.381068737514746,8.762137475029492,0.2960090788308611,13.95290261422549,45,45,0,0.000835808,false,XTOL_REACHED,"[5.0, 2.5, 0.15]","[4.95446446475815, -497.56342809472204, 0.1612186105762648]"
mgh11,3,100,mads,0.2559597811257153,0.5119195622514306,0.0715485543006587,5575.400585561386,2000,2000,0,4.462112144,false,0,"[5.0, 2.5, 0.15]","[9.86705444e-6, 62.16548495705177, -3.68587345064445]"
mgh12,3,10,ipopt,4.7673711216457545e-17,9.534742243291509e-17,3.087837794200257e-9,3.4465481670894502e-9,32,79,34,0.008939857,true,LOCALLY_SOLVED,"[0.0, 10.0, 20.0]","[1.0000000389646555, 9.999999674805295, 0.9999999742542599]"
