method,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,f_x,minimizer
BFGS,3,0.06030298623460424,5.291822751743237,689.045388879,24,14,1.008522472228858,"[0.22807413663625786, 0.02165025649328777, 0.18091031885908335]"
SPG,3,0.0554109604561127,2.805108799506566,2409.577911817,141,86,0.44827468264565723,"[0.27150727742370456, 0.0, 0.18102428074237195]"
BOBYQA,3,0.05541080961674734,2.8010963402872764,831.20182138,69,0,0.44827224206797917,"[0.2714899976645109, 0.0, 0.181027835716228]"
MADS,3,0.05541096519663639,2.8165311278394403,1737.875598048,150,0,0.448274759347336,"[0.2715, 0.0, 0.181]"
BFGS,10,0.06619323616312213,10.153059079386653,3684.289858511,171,35,0.7821987267380719,"[0.35193612958770065, 0.003679845572088177, 0.008259280528326824, 0.16692756601538947, 0.023342461887929402, 0.04967649834154077, 0.011768405837762697, 0.06514104385885731, 0.05744090740066633, 0.15483192270670224]"
SPG,10,0.04888833548117855,82508.13273802587,6366.419755311,603,79,0.3489501245335582,"[0.11679022460962334, 0.08125872545817957, 0.203202716172139, 0.049939914365711977, 0.0005387981777687503, 0.04316439840109762, 0.04763784031725503, 0.04757334164439713, 0.13272292144646658, 0.18070524029882143]"
BOBYQA,10,0.04949884331594025,2.6933897988752102,3662.162124159,316,0,0.35771978148393635,"[0.1460306078310716, 0.10757993661929047, 0.19098281759415023, 0.061779204014548304, 1.1524255413909654e-7, 0.04957746317407102, 0.0383863731744186, 0.0541860453132985, 0.12547922121106056, 0.17796642384897216]"
MADS,10,0.04649340470895814,170.26834272132962,9475.95757034,954,0,0.31559895548892175,"[0.49533, 0.00067, 0.21196, 0.03332, 0.01444, 0.0, 0.0728, 0.00026, 0.16636, 0.18735]"
