method,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,converged,status,f_x,minimizer
BFGS,3,0.0546241182678044,0.0006894989336409445,728.710923269,24,14,true,GradientNorm,1.008522472228858,"[0.22807413663625786, 0.02165025649328777, 0.18091031885908335]"
BOBYQA,3,0.05462412692703751,0.0526060451639239,1286.820640092,100,0,false,MAXEVAL_REACHED,1.0085227919788933,"[0.22809112944416685, 0.021649516885721278, 0.18091939986233427]"
MADS,3,0.05463804841262376,2.1267269478626463,1220.866963187,101,0,true,0,1.0090369210069936,"[0.23, 0.0211, 0.1808]"
SidPsm,3,0.05471403657278267,0.681411217180204,1217.551167365,104,0,false,fevals_limit_reached,1.0118455197536762,"[0.21210190361735223, 0.03031479308920405, 0.18138311366286736]"
ffjm2,3,0.05462411826452319,6.479839351399652e-9,727.419460547,18,11,true,gradient_converged,0.5042612360538481,"[0.22807198594280942, 0.021651528556696484, 0.18091020832223498]"
