method,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,f_x,minimizer
BFGS,3,0.0546241182678044,0.0006894989336409445,696.295001755,24,14,1.008522472228858,"[0.22807413663625786, 0.02165025649328777, 0.18091031885908335]"
SPG,3,0.054624118268623366,0.0010038352689835336,2434.679328612,62,48,1.0085224722590986,"[0.22807096259708495, 0.021652106346508382, 0.1809105154844629]"
BOBYQA,3,0.05462411826509207,6.802759720470979e-5,2904.496677072,123,0,1.0085224721287025,"[0.22807331012419668, 0.02165080191969305, 0.1809101868313771]"
MADS,3,0.054624124308451774,0.031253873221645814,4774.431335815,207,0,1.0085226952852346,"[0.227971, 0.0217, 0.1809165576043]"
BFGS,10,0.04810610581189074,1.1939219490270044e6,3556.082273712,171,35,0.7821987267380719,"[0.35193612958770065, 0.003679845572088177, 0.008259280528326824, 0.16692756601538947, 0.023342461887929402, 0.04967649834154077, 0.011768405837762697, 0.06514104385885731, 0.05744090740066633, 0.15483192270670224]"
SPG,10,0.051722257514739245,1.5808017713508185,11528.044045136,418,101,0.904214869778298,"[0.08692328940861933, 0.09541151497342115, 0.09435557518580327, 0.11149984397484544, 0.07107343934661013, 0.0603378267931979, 0.06524739710412901, 0.06972760973299495, 0.08625765280580777, 0.16642594336878083]"
BOBYQA,10,0.05205886679610051,1.9624246677238684,5482.556990484,232,0,0.9160224568878177,"[0.08689124534094028, 0.08724639316330582, 0.10957105452839547, 0.09275304837589715, 0.0929735022605065, 0.05367695108421104, 0.07135528462556964, 0.0431644161048703, 0.10470901098595732, 0.17179783658820874]"
MADS,10,0.0457478692963947,260.84142192268484,21338.784043363,1000,0,0.7073892302640843,"[0.496, 0.08901, 0.0, 0.1735, 0.0, 0.02711, 0.06492, 0.00169, 0.13743, 0.17802]"
