alpha,f,f_plot,RMSD_plot,x1,x2,x3
0.0,22.1679256727995,22.1679256727995,0.23541413335226657,0.09,0.09,0.09
0.0006265664160401002,21.84302859543676,21.84302859543676,0.23368262983925847,0.09002112104940461,0.09000457609582448,0.09062619360770323
0.0012531328320802004,21.521565433622385,21.521565433622385,0.23195670627092455,0.09004224209880925,0.09000915219164897,0.09125238721540646
0.0018796992481203006,21.203508649618524,21.203508649618524,0.2302363386263044,0.09006336314821387,0.09001372828747345,0.09187858082310969
0.002506265664160401,20.88883109381926,20.88883109381926,0.22852150387774922,0.0900844841976185,0.09001830438329793,0.09250477443081292
0.003132832080200501,20.577505994634844,20.577505994634844,0.22681217997847275,0.09010560524702312,0.09002288047912242,0.09313096803851616
0.0037593984962406013,20.269506948947388,20.269506948947388,0.22510834585232167,0.09012672629642775,0.0900274565749469,0.09375716164621939
0.0043859649122807015,19.964807913090258,19.964807913090258,0.22340998138562576,0.09014784734583237,0.09003203267077138,0.09438335525392262
0.005012531328320802,19.66338319431351,19.66338319431351,0.221717067421035,0.090168968395237,0.09003660876659587,0.09500954886162585
0.005639097744360902,19.365207442694313,19.365207442694313,0.22002958575322498,0.09019008944464162,0.09004118486242035,0.09563574246932909
0.006265664160401002,19.070255643459635,19.070255643459635,0.21834751912638964,0.09021121049404625,0.09004576095824483,0.09626193607703232
0.006892230576441102,18.7785031096883,18.7785031096883,0.2166708512334337,0.09023233154345087,0.09005033705406933,0.09688812968473555
0.007518796992481203,18.489925475363783,18.489925475363783,0.2149995667167947,0.0902534525928555,0.0900549131498938,0.09751432329243878
0.008145363408521303,18.20449868875052,18.20449868875052,0.21333365117082748,0.09027457364226012,0.09005948924571829,0.098140516900142
0.008771929824561403,17.922199006069842,17.922199006069842,0.21167309114569713,0.09029569469166475,0.09006406534154276,0.09876671050784525
0.009398496240601503,17.643002985452256,17.643002985452256,0.2100178741527269,0.09031681574106937,0.09006864143736726,0.09939290411554846
0.010025062656641603,17.3668874811473,17.3668874811473,0.20836798867116862,0.090337936790474,0.09007321753319174,0.1000190977232517
0.010651629072681704,17.093829637969314,17.093829637969314,0.20672342415634298,0.09035905783987862,0.09007779362901622,0.10064529133095493
0.011278195488721804,16.823806885965816,16.823806885965816,0.20508417104914398,0.09038017888928325,0.09008236972484071,0.10127148493865816
0.011904761904761904,16.55679693528882,16.55679693528882,0.20345022078685993,0.09040129993868787,0.09008694582066519,0.10189767854636139
0.012531328320802004,16.29277777125871,16.29277777125871,0.2018215658153181,0.0904224209880925,0.09009152191648967,0.10252387215406462
0.013157894736842105,16.031727649604058,16.031727649604058,0.20019819960231947,0.09044354203749712,0.09009609801231416,0.10315006576176786
0.013784461152882205,15.773625091867848,15.773625091867848,0.19858011665237188,0.09046466308690175,0.09010067410813864,0.10377625936947109
0.014411027568922305,15.518448880967805,15.518448880967805,0.19696731252271152,0.09048578413630637,0.09010525020396312,0.10440245297717432
0.015037593984962405,15.266178056901857,15.266178056901857,0.19535978384062225,0.090506905185711,0.09010982629978762,0.10502864658487755
0.015664160401002505,15.016791912588086,15.016791912588086,0.19375752832205054,0.09052802623511562,0.0901144023956121,0.10565484019258078
0.016290726817042606,14.770269989832666,14.770269989832666,0.19216054479154054,0.09054914728452025,0.09011897849143657,0.10628103380028402
0.016917293233082706,14.526592075415937,14.526592075415937,0.19056883320349066,0.09057026833392487,0.09012355458726107,0.10690722740798725
0.017543859649122806,14.285738197291602,14.285738197291602,0.18898239466476502,0.0905913893833295,0.09012813068308555,0.10753342101569048
0.018170426065162906,14.047688620891108,14.047688620891108,0.1874012314586747,0.09061251043273412,0.09013270677891003,0.10815961462339371
0.018796992481203006,13.812423845527473,13.812423845527473,0.1858253470703571,0.09063363148213875,0.09013728287473452,0.10878580823109694
0.019423558897243107,13.579924600893998,13.579924600893998,0.18425474621359145,0.09065475253154337,0.090141858970559,0.10941200183880018
0.020050125313283207,13.350171843651836,13.350171843651836,0.1826894348590788,0.090675873580948,0.09014643506638348,0.11003819544650341
0.020676691729323307,13.123146754101843,13.123146754101843,0.181129420264226,0.09069699463035262,0.09015101116220797,0.11066438905420664
0.021303258145363407,12.898830732937205,12.898830732937205,0.1795747110044814,0.09071811567975725,0.09015558725803245,0.11129058266190987
0.021929824561403508,12.677205398072061,12.677205398072061,0.1780253170062622,0.09073923672916187,0.09016016335385693,0.1119167762696131
0.022556390977443608,12.458252581543197,12.458252581543197,0.17648124958152916,0.0907603577785665,0.09016473944968142,0.11254296987731632
0.023182957393483708,12.241954326480364,12.241954326480364,0.17494252146405376,0.09078147882797112,0.0901693155455059,0.11316916348501957
0.023809523809523808,12.028292884144077,12.028292884144077,0.17340914684744918,0.09080259987737575,0.09017389164133038,0.11379535709272279
0.02443609022556391,11.817250711025366,11.817250711025366,0.17188114142500746,0.09082372092678037,0.09017846773715486,0.11442155070042603
0.02506265664160401,11.608810466006988,11.608810466006988,0.17035852243142247,0.090844841976185,0.09018304383297936,0.11504774430812925
0.02568922305764411,11.402955007583175,11.402955007583175,0.16884130868646433,0.09086596302558962,0.09018761992880384,0.11567393791583248
0.02631578947368421,11.199667391134586,11.199667391134586,0.16732952064067017,0.09088708407499425,0.09019219602462832,0.11630013152353572
0.02694235588972431,10.998930866257174,10.998930866257174,0.16582318042313304,0.09090820512439887,0.09019677212045281,0.11692632513123895
0.02756892230576441,10.80072887414337,10.80072887414337,0.16432231189147267,0.0909293261738035,0.09020134821627729,0.11755251873894218
0.02819548872180451,10.605045045012531,10.605045045012531,0.16282694068406287,0.09095044722320812,0.09020592431210177,0.11817871234664541
0.02882205513784461,10.41186319558987,10.41186319558987,0.16133709427461088,0.09097156827261275,0.09021050040792626,0.11880490595434864
0.02944862155388471,10.221167326631718,10.221167326631718,0.15985280202917712,0.09099268932201737,0.09021507650375074,0.11943109956205188
0.03007518796992481,10.032941620496445,10.032941620496445,0.15837409526573817,0.091013810371422,0.09021965259957522,0.12005729316975511
0.03070175438596491,9.847170438757832,9.847170438757832,0.15690100731637951,0.09103493142082662,0.09022422869539971,0.12068348677745834
0.03132832080200501,9.663838319861684,9.663838319861684,0.15543357359223975,0.09105605247023126,0.09022880479122419,0.12130968038516157
0.03195488721804511,9.482929976822843,9.482929976822843,0.15397183165130274,0.09107717351963587,0.09023338088704867,0.1219358739928648
0.03258145363408521,9.304430294962142,9.304430294962142,0.15251582126915672,0.0910982945690405,0.09023795698287317,0.12256206760056804
0.03320802005012531,9.128324329681828,9.128324329681828,0.15106558451283525,0.09111941561844512,0.09024253307869765,0.12318826120827127
0.03383458646616541,8.954597304278872,8.954597304278872,0.14962116581786541,0.09114053666784974,0.09024710917452212,0.1238144548159745
0.03446115288220551,8.783234607794034,8.783234607794034,0.1481826120686401,0.09116165771725437,0.09025168527034662,0.12444064842367773
0.03508771929824561,8.614221792897885,8.614221792897885,0.14674997268226223,0.09118277876665899,0.0902562613661711,0.12506684203138096
0.03571428571428571,8.447544573809692,8.447544573809692,0.14532329969596833,0.09120389981606362,0.09026083746199558,0.12569303563908418
0.03634085213032581,8.283188824251656,8.283188824251656,0.1439026478582974,0.09122502086546824,0.09026541355782007,0.12631922924678743
0.03696741854636591,8.121140575435149,8.121140575435149,0.14248807472412514,0.09124614191487287,0.09026998965364455,0.12694542285449065
0.03759398496240601,7.961386014079358,7.961386014079358,0.14107964075371895,0.09126726296427749,0.09027456574946903,0.1275716164621939
0.03822055137844611,7.803911480461594,7.803911480461594,0.139677409415961,0.09128838401368213,0.09027914184529352,0.1281978100698971
0.03884711779448621,7.648703466497718,7.648703466497718,0.13828144729588382,0.09130950506308674,0.090283717941118,0.12882400367760036
0.039473684210526314,7.49574861385314,7.49574861385314,0.13689182420668097,0.09133062611249138,0.09028829403694248,0.12945019728530358
0.040100250626566414,7.345033712082516,7.345033712082516,0.1355086133063367,0.091351747161896,0.09029287013276696,0.13007639089300682
0.040726817042606514,7.196545696798745,7.196545696798745,0.1341318912190418,0.09137286821130063,0.09029744622859145,0.13070258450071004
0.041353383458646614,7.050271647869316,7.050271647869316,0.13276173816153994,0.09139398926070524,0.09030202232441593,0.13132877810841329
0.041979949874686714,6.906198787640888,6.906198787640888,0.1313982380745732,0.09141511031010988,0.09030659842024041,0.1319549717161165
0.042606516290726815,6.764314479189814,6.764314479189814,0.13004147875956554,0.0914362313595145,0.09031117451606491,0.13258116532381975
0.043233082706766915,6.624606224599816,6.624606224599816,0.12869155202071167,0.09145735240891913,0.09031575061188939,0.13320735893152297
0.043859649122807015,6.487061663265056,6.487061663265056,0.1273485538126077,0.09147847345832374,0.09032032670771387,0.13383355253922619
0.044486215538847115,6.3516685702185045,6.3516685702185045,0.12601258439356866,0.09149959450772838,0.09032490280353836,0.13445974614692943
0.045112781954887216,6.218414854485018,6.218414854485018,0.12468374848476663,0.091520715557133,0.09032947889936284,0.13508593975463268
0.045739348370927316,6.087288557458903,6.087288557458903,0.12336215543531678,0.09154183660653763,0.09033405499518732,0.1357121333623359
