alpha,f,f_plot,x1,x2
0.0,22.167925672799463,22.167925672799463,0.09,0.09
0.005025125628140704,19.676230331568846,19.676230331568846,0.09018704148235561,0.09502164346230144
0.010050251256281407,17.451135729022212,17.451135729022212,0.09037408296471121,0.10004328692460286
0.01507537688442211,15.480580431024896,15.480580431024896,0.09056112444706682,0.10506493038690429
0.020100502512562814,13.753741365903327,13.753741365903327,0.09074816592942242,0.11008657384920573
0.02512562814070352,12.260828490799014,12.260828490799014,0.09093520741177803,0.11510821731150717
0.03015075376884422,10.992933153321355,10.992933153321355,0.09112224889413365,0.12012986077380859
0.035175879396984924,9.941909545850832,9.941909545850832,0.09130929037648924,0.12515150423611002
0.04020100502512563,9.10027838977516,9.10027838977516,0.09149633185884486,0.13017314769841146
0.04522613065326633,8.461146686590958,8.461146686590958,0.09168337334120046,0.1351947911607129
0.05025125628140704,8.018139753245757,8.018139753245757,0.09187041482355607,0.1402164346230143
0.05527638190954774,7.765343035102936,7.765343035102936,0.09205745630591168,0.14523807808531575
0.06030150753768844,7.697251918793013,7.697251918793013,0.09224449778826728,0.1502597215476172
0.06532663316582915,7.808728212818546,7.808728212818546,0.09243153927062289,0.15528136500991863
0.07035175879396985,8.094962255352225,8.094962255352225,0.09261858075297849,0.16030300847222007
0.07537688442211055,8.551439811791646,8.551439811791646,0.0928056222353341,0.16532465193452148
0.08040201005025126,9.173913073926967,9.173913073926967,0.09299266371768972,0.17034629539682292
0.08542713567839195,9.958375187065641,9.958375187065641,0.09317970520004532,0.17536793885912433
0.09045226130653267,10.90103782211688,10.90103782211688,0.09336674668240093,0.18038958232142577
0.09547738693467336,11.99831138310991,11.99831138310991,0.09355378816475654,0.1854112257837272
0.10050251256281408,13.246787501149415,13.246787501149415,0.09374082964711214,0.19043286924602865
0.10552763819095477,14.643223516266353,14.643223516266353,0.09392787112946775,0.19545451270833009
0.11055276381909548,16.184528691018034,16.184528691018034,0.09411491261182335,0.20047615617063153
0.11557788944723618,17.867751935523962,17.867751935523962,0.09430195409417896,0.20549779963293296
0.12060301507537688,19.690070853994726,19.690070853994726,0.09448899557653458,0.21051944309523438
0.12562814070351758,21.64878194850538,21.64878194850538,0.09467603705889018,0.2155410865575358
0.1306532663316583,23.74129183741109,23.74129183741109,0.09486307854124579,0.22056273001983726
0.135678391959799,25.965109365521013,25.965109365521013,0.09505012002360139,0.22558437348213867
0.1407035175879397,28.31783851548652,28.31783851548652,0.095237161505957,0.2306060169444401
0.1457286432160804,30.797172158167953,30.797172158167953,0.09542420298831261,0.23562766040674152
0.1507537688442211,33.40088729239183,33.40088729239183,0.09561124447066821,0.24064930386904296
0.15577889447236182,36.12684461206764,36.12684461206764,0.09579828595302382,0.24567094733134442
0.16080402010050251,38.97299385318459,38.97299385318459,0.09598532743537942,0.2506925907936458
0.1658291457286432,41.93733853567571,41.93733853567571,0.09617236891773503,0.2557142342559473
