Avaliacoes normais de quad_fun no full_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
5.996	1	0.5442417139064061	43.24506030074422
11.996	2	0.5442417139064061	43.24506030074422
18.0	3	0.5452470934104143	43.40498135938575
23.997	4	0.5435247941259758	43.13120346713391
30.015	5	0.5448981985744281	43.34945083420991
36.007	6	0.5436578880869388	43.15232929475598
42.003	7	0.5447695955823384	43.3289911915579
48.006	8	0.5438999709603176	43.19076804795261
54.457	9	0.5445167985686242	43.28878741281986
60.455	10	0.5440857675802498	43.22028108257489
66.463	11	0.5443704641968817	43.26552353432955
72.443	12	0.5442003574585448	43.23848824246916
78.439	13	0.5442311147449859	43.24337591345921
84.435	14	0.5443598959835612	43.26384366786409
90.558	15	0.5440360122642682	43.21237666549943
96.555	16	0.5445707333698495	43.29736341187445
102.545	17	0.5438058826489673	43.17582634852887
108.579	18	0.5448531122955035	43.3422774408021
115.04	19	0.5433828689305038	43.108681568083185
121.036	20	0.5456395397920881	43.467486078140176
127.015	21	0.5423812356641027	42.949901100875756
133.011	22	0.546608016687777	43.621927290472385
139.354	23	0.5412670486421115	42.77362262007832
145.352	24	0.5492848627525505	44.05022362556688
151.345	25	0.5572234766028943	45.33270842010278
157.34	26	0.551437981909735	44.39624179233146
163.349	27	0.5532135026468576	44.68259620857749
169.344	28	0.5471314347995708	43.70550981409221
175.362	29	0.5482926889906105	43.89123142888092
181.357	30	0.5483150580235738	43.894812816887686
187.358	31	0.5512094274149633	44.35944759918523
193.356	32	0.5480729256133415	43.85605404139365
199.387	33	0.5477912648445654	43.810989396641276
205.378	34	0.5472568442004653	43.72554781454083
211.434	35	0.5490798522605158	44.01734788713076
217.434	36	0.5488882883833996	43.986639556170886
223.427	37	0.549259127834117	44.04609606832785
229.469	38	0.5483725047736914	43.90401098279874
235.474	39	0.5485440570131623	43.93148504273109
241.476	40	0.5478192774379808	43.81547026697002
247.469	41	0.5479898286309356	43.84275643331247
253.464	42	0.5479949186846983	43.84357091202036
259.472	43	0.5486742071248376	43.9523342923541
265.466	44	0.5489202294582419	43.99175907303939
271.46	45	0.5483245970360688	43.89634010235602
277.451	46	0.5467848075659083	43.65014936459356
283.446	47	0.5464177473293043	43.59156377107899
