Metodo: BFGS em L_sv
lambda fixo = 0.0
rho fixo = 10.0
tmax = 5.0
lb = 0.0 | ub = 0.5
bfgs_iterations = 10 | fminbox_outer_iterations = 10 | f_calls_limit = 50 | g_calls_limit = 20
restarts = 1
tempo_s	n_calfun	RMSD	sum_x_xref2
57.19	1	0.3023046578185729	0.0
58.078	2	1.0000000000000002e27	0.00035630036227363865
58.257	3	1.0000000000000002e27	0.00035628465174805267
58.461	4	1.0000000000000002e27	3.6622499853819973e-6
58.655	5	1.0000000000000002e27	3.662248567332527e-6
58.869	6	1.0000000000000002e27	3.1066231335194912e-6
112.012	7	0.2751102416045393	7.766557833798624e-7
112.22	8	1.0000000000000002e27	3.1066231335095606e-6
112.421	9	1.0000000000000002e27	3.106609485857024e-6
112.799	10	1.0000000000000002e27	1.74747039472942e-6
167.249	11	0.26492353722047923	1.213522529082369e-6
220.531	12	0.2586803788957543	1.468361321912833e-6
274.859	13	0.2550945182703793	1.6048820733228478e-6
328.849	14	0.25313606171353387	1.6754177877765644e-6
329.257	15	1.0000000000000002e27	1.7112544796905936e-6
329.784	16	1.0000000000000002e27	1.693288730842963e-6
383.646	17	0.2528816750703754	1.684341408587114e-6
437.885	18	0.2527536027823495	1.6888121070343641e-6
438.473	19	1.0000000000000002e27	1.6910496782685204e-6
439.206	20	1.0000000000000002e27	1.6899307074839025e-6
493.534	21	0.25273755182155816	1.6893713609672593e-6
548.128	22	0.2527295228238819	1.6896510226526157e-6
548.925	23	1.0000000000000002e27	1.6897908621750211e-6
549.866	24	1.0000000000000002e27	1.6897209416904995e-6
603.685	25	0.25272851903411747	1.6896859819907274e-6
657.94	26	0.2527280171254719	1.6897034617954159e-6
658.985	27	1.0000000000000002e27	1.6897122017316389e-6
713.972	28	0.2527278916468805	1.689707831760709e-6
715.197	29	1.0000000000000002e27	1.6897100167454818e-6
768.864	30	0.2527278602771419	1.689708924252924e-6
822.863	31	0.2527278445922607	1.6897094704991516e-6
877.797	32	0.2527278367498164	1.689709743622299e-6
932.775	33	0.2527278328285929	1.6897098801838895e-6
934.057	34	1.0000000000000002e27	1.6897099484647117e-6
935.449	35	1.0000000000000002e27	1.6897099143242786e-6
991.378	36	0.2527278323384402	1.6897098972540632e-6
1045.212	37	0.25272783209336463	1.6897099057891714e-6
1046.758	38	1.0000000000000002e27	1.689709910056726e-6
1101.079	39	0.2527278320320928	1.689709907922967e-6
1154.081	40	0.25272783200145826	1.6897099089898427e-6
1208.103	41	0.2527278319861433	1.689709909523283e-6
1209.676	42	1.0000000000000002e27	1.6897099097900098e-6
1211.288	43	1.0000000000000002e27	1.6897099096566663e-6
1212.962	44	1.0000000000000002e27	1.6897099095899863e-6
1214.66	45	1.0000000000000002e27	1.6897099095566293e-6
1216.386	46	1.0000000000000002e27	1.6897099095399517e-6
1218.23	47	1.0000000000000002e27	1.6897099095316122e-6
