problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh21,20,20,ffjm2_psb_bobyqa,6.69091846114542e-18,1.338183692229084e-17,8.179803457996665e-10,5.572652234046451e-9,23,28,24,33.015369268,true,gradient_converged,"[-1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0]","[0.9999999996544741, 0.9999999992952726, 1.0000000004010259, 1.0000000008157086, 0.9999999988091639, 0.9999999976165275, 1.0000000005228689, 1.0000000010406735, 1.0000000013853925, 1.0000000027719345, 1.0000000007487986, 1.0000000015116355, 0.9999999984560711, 0.9999999969028632, 0.999999999044738, 0.9999999980862994, 0.9999999976422597, 0.9999999952820262, 0.9999999999428949, 0.9999999998820902]"
mgh22,20,20,ffjm2_psb_ipopt,4.51665235083649e-14,9.03330470167298e-14,6.720604400525662e-8,2.7956571302670857e-10,9,13,10,2.629420898,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0]","[-8.256246918993754e-7, 8.257985249928382e-8, 0.00020533263876200078, 0.0002053326213792425, -8.256247043428315e-7, 8.25798537435119e-8, 0.00020533264111653493, 0.00020533262373377694, -8.256246915134333e-7, 8.257985246068728e-8, 0.00020533263856533079, 0.00020533262118257258, -8.256246878411118e-7, 8.257985209348643e-8, 0.00020533263779233562, 0.00020533262040957752, -8.256246930299179e-7, 8.257985261232047e-8, 0.0002053326388302712, 0.00020533262144751304]"
mgh22,20,20,ffjm2_psb_bfgs,4.516652409876428e-14,9.033304819752856e-14,6.720604444450238e-8,2.795622994484774e-10,9,13,10,0.992829269,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0]","[-8.25624629307216e-7, 8.257984719867615e-8, 0.00020533263789338966, 0.0002053326205063161, -8.256246293314724e-7, 8.257984761987355e-8, 0.00020533263576815553, 0.00020533261838356172, -8.256248054567137e-7, 8.257986410772975e-8, 0.00020533264457414164, 0.00020533262719953457, -8.256245732331071e-7, 8.25798408773691e-8, 0.00020533263538241592, 0.00020533261800069204, -8.256249044184909e-7, 8.257987282469764e-8, 0.00020533264478717522, 0.00020533262740669622]"
mgh22,20,20,ffjm2_psb_bobyqa,1.102549151489715e-12,2.20509830297943e-12,3.320465556950885e-7,9.23640898422626e-9,600,604,601,903.703801955,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0]","[-5.086225777647108e-6, 5.083396819832985e-7, -0.000490050936476138, -0.0004900510913319879, -4.8483090602529165e-6, 4.846305775269501e-7, -0.00048196156723361364, -0.00048196126235782507, -3.619433377407438e-6, 3.6204499582386447e-7, 0.0004337044573066906, 0.00043370407825086, -3.7918482207561877e-6, 3.7937305077478547e-7, 0.0004441349119114586, 0.00044413501579068773, -3.5673852467660972e-6, 3.569637910909375e-7, 0.00043306481232606355, 0.0004330641619536462]"
mgh23,4,5,ffjm2_psb_ipopt,1.1249887507252292e-5,2.2499775014504585e-5,0.0021213097376151643,2.2799780295128323e-9,9,13,10,1.903640522,true,gradient_converged,"[1.0, 2.0, 3.0, 4.0]","[0.24999963428116256, 0.2500048785165718, 0.25001012275197965, 0.25001536698738797]"
mgh23,4,5,ffjm2_psb_bfgs,1.124988750725238e-5,2.249977501450476e-5,0.0021213097376151725,2.2794629974274253e-9,9,13,10,0.102729584,true,gradient_converged,"[1.0, 2.0, 3.0, 4.0]","[0.2499996339414521, 0.2500048769098588, 0.2500101265594251, 0.2500153651253013]"
mgh23,4,5,ffjm2_psb_bobyqa,1.1249887507251444e-5,2.2499775014502887e-5,0.002121309737615084,2.277474666277305e-9,9,13,10,0.705182164,true,gradient_converged,"[1.0, 2.0, 3.0, 4.0]","[0.24999960600572027, 0.25000487644540437, 0.2500102170402354, 0.25001530304074054]"
mgh24,4,8,ffjm2_psb_ipopt,1.7284107820555194e-6,3.4568215641110388e-6,0.0006573451874881871,1.7402290058945418e-9,21,37,22,30.041229263,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5]","[0.19999958505284016, 0.12555797497267213, 0.49958248281020645, 0.541794463319886]"
mgh24,4,8,ffjm2_psb_bfgs,1.7284107820555181e-6,3.4568215641110362e-6,0.0006573451874881868,1.7402609223581109e-9,21,37,22,1.901713661,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5]","[0.19999958505281698, 0.12555797495593843, 0.499582482868461, 0.5417944632241368]"
mgh24,4,8,ffjm2_psb_bobyqa,1.7284107819079078e-6,3.4568215638158156e-6,0.0006573451874601175,6.530832168034588e-10,23,41,24,4.782519754,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5]","[0.19999958505440646, 0.12555776258074816, 0.4995864528078112, 0.5417872891749764]"
mgh25,10,12,ffjm2_psb_ipopt,7.395570986446986e-32,1.4791141972893971e-31,1.1102230246251565e-16,3.8459253727671276e-16,5,13,6,0.487069161,true,gradient_converged,"[0.9, 0.8, 0.7, 0.6, 0.5, 0.4, 0.30000000000000004, 0.19999999999999996, 0.09999999999999998, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mgh25,10,12,ffjm2_psb_bfgs,1.4791141972893971e-31,2.9582283945787943e-31,1.5700924586837752e-16,5.438959822042073e-16,5,13,6,0.061902698,true,gradient_converged,"[0.9, 0.8, 0.7, 0.6, 0.5, 0.4, 0.30000000000000004, 0.19999999999999996, 0.09999999999999998, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002, 1.0000000000000002]"
mgh25,10,12,ffjm2_psb_bobyqa,1.7257870331921765e-17,3.451574066384353e-17,1.6959692573826216e-9,6.083249774289352e-9,5,13,6,2.350636026,true,gradient_converged,"[0.9, 0.8, 0.7, 0.6, 0.5, 0.4, 0.30000000000000004, 0.19999999999999996, 0.09999999999999998, 0.0]","[0.9999999990189481, 1.0000000038299997, 0.999999996892719, 0.9999999992091793, 1.0000000007023435, 1.0000000006846963, 1.0000000014312795, 0.9999999997215341, 1.0000000011897734, 0.9999999979767412]"
mgh26,10,10,ffjm2_psb_ipopt,1.397528060947966e-5,2.795056121895932e-5,0.001671842134262662,2.9978343734389893e-9,15,27,16,2.861145396,true,gradient_converged,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.055150898744865166, 0.05684061119404563, 0.058763995706554106, 0.06099060200846966, 0.06362620623024069, 0.06684317074504599, 0.20816152644459535, 0.16436310309243943, 0.08500683745830821, 0.09143144745676163]"
mgh26,10,10,ffjm2_psb_bfgs,1.397528060948352e-5,2.795056121896704e-5,0.0016718421342628927,2.997705160225572e-9,15,27,16,0.260046657,true,gradient_converged,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.055150898745056215, 0.05684061119450958, 0.05876399570650752, 0.06099060200987069, 0.06362620623120957, 0.06684317074455406, 0.20816152644559277, 0.16436310309365418, 0.08500683745632452, 0.09143144745472202]"
mgh26,10,10,ffjm2_psb_bobyqa,1.3975280609481465e-5,2.795056121896293e-5,0.0016718421342627697,3.00946803697357e-9,15,27,16,8.848563117,true,gradient_converged,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.05515089878475839, 0.056840611234077625, 0.05876399574170096, 0.06099060209575231, 0.0636262062519538, 0.066843170732341, 0.20816152638072496, 0.16436310308877972, 0.08500683747814554, 0.0914314476289312]"
mgh27,10,10,ffjm2_psb_ipopt,2.2407296419468214e-16,4.481459283893643e-16,6.6943702346775255e-9,1.9412309558363376e-9,7,11,8,0.683185824,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[1.0000000223060754, 1.0000000223060754, 1.0000000223060754, 1.0000000223060754, 1.0000000223060754, 1.0000000223060754, 1.0000000223060754, 1.0000000223060754, 1.0000000223060754, 0.9999997789854643]"
mgh27,10,10,ffjm2_psb_bfgs,2.240728257643632e-16,4.481456515287264e-16,6.694368166815494e-9,1.9412294195346065e-9,7,11,8,0.043023345,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[1.0000000223060692, 1.0000000223060679, 1.00000002230607, 1.000000022306068, 1.0000000223060665, 1.000000022306068, 1.0000000223060668, 1.0000000223060705, 1.000000022306068, 0.999999778985533]"
mgh27,10,10,ffjm2_psb_bobyqa,1.9308731939546812e-23,3.8617463879093624e-23,1.965132664200909e-12,4.0790371768689e-12,9,13,10,3.867427318,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[1.0000000000046947, 1.0000000000043265, 1.0000000000056586, 1.0000000000080922, 1.0000000000029956, 1.0000000000057, 1.0000000000049087, 1.0000000000048728, 1.0000000000047917, 0.9999999999492776]"
mgh28,10,10,ffjm2_psb_ipopt,2.2231494422260625e-15,4.446298884452125e-15,2.1086248799756026e-8,6.931523282079234e-9,7,10,8,0.512112143,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.043165062846452114, -0.08157730993232166, -0.11448592720060607, -0.14097383051999735, -0.15990896900810544, -0.16987747161564862, -0.16909022788457642, -0.1552497352673729, -0.12535603300199097, -0.07541660661770805]"
mgh28,10,10,ffjm2_psb_bfgs,2.223151577482882e-15,4.446303154965764e-15,2.108625892605363e-8,6.931526609955169e-9,7,10,8,0.099804925,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.0431650628464901, -0.08157730993238783, -0.11448592720069067, -0.14097383052009832, -0.15990896900822596, -0.16987747161578512, -0.16909022788471342, -0.1552497352674893, -0.12535603300207207, -0.07541660661774867]"
mgh28,10,10,ffjm2_psb_bobyqa,2.223145972038019e-15,4.446291944076038e-15,2.1086232342635417e-8,6.931517893681806e-9,7,10,8,2.540836986,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.043165062846439776, -0.08157730993230385, -0.11448592720054601, -0.140973830519879, -0.15990896900791077, -0.1698774716153562, -0.1690902278843047, -0.15524973526712926, -0.125356033001824, -0.0754166066176518]"
mgh29,10,10,ffjm2_psb_ipopt,1.1305395481204122e-22,2.2610790962408245e-22,4.7550805421578555e-12,1.906828506008786e-11,6,8,7,0.392652085,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.043164982516471016, -0.08157715653149356, -0.11448571437570096, -0.14097357685740725, -0.1599086961769063, -0.16987720230819542, -0.16908998377742882, -0.1552495352190556, -0.12535589167722022, -0.07541653368511747]"
mgh29,10,10,ffjm2_psb_bfgs,1.130254959803284e-22,2.260509919606568e-22,4.754482011330539e-12,1.9065886176549742e-11,6,8,7,0.045729303,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.04316498251647081, -0.08157715653149475, -0.11448571437570185, -0.14097357685740794, -0.15990869617690645, -0.16987720230819567, -0.16908998377742956, -0.1552495352190557, -0.1253558916772204, -0.0754165336851185]"
mgh29,10,10,ffjm2_psb_bobyqa,1.1345637199944942e-22,2.2691274399889884e-22,4.763535913571964e-12,1.9100519907284295e-11,6,8,7,0.564098875,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.04316498251646686, -0.0815771565314641, -0.11448571437572223, -0.14097357685739093, -0.1599086961768781, -0.16987720230819417, -0.16908998377741583, -0.15524953521906182, -0.12535589167723163, -0.07541653368511476]"
mgh30,10,10,ffjm2_psb_ipopt,7.642459797877874e-27,1.5284919595755748e-26,3.909593277536136e-14,3.4560625955961136e-13,6,10,7,0.63010394,true,gradient_converged,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[-0.5707221320112301, -0.6818069499842829, -0.7022100760176699, -0.7055106298950922, -0.7049061557287573, -0.7014966070298666, -0.6918893223548156, -0.6657965144058727, -0.5960351090263845, -0.41641225752870725]"
mgh30,10,10,ffjm2_psb_bfgs,7.536234746609207e-27,1.5072469493218415e-26,3.882327844633734e-14,3.4691769132666497e-13,6,10,7,0.065347083,true,gradient_converged,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[-0.5707221320112307, -0.6818069499842835, -0.7022100760176703, -0.7055106298950914, -0.704906155728757, -0.7014966070298659, -0.6918893223548158, -0.6657965144058726, -0.5960351090263842, -0.416412257528707]"
mgh30,10,10,ffjm2_psb_bobyqa,4.8853416303238616e-26,9.770683260647723e-26,9.884676656647765e-14,1.8333252356399817e-12,6,10,7,1.752816188,true,gradient_converged,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[-0.5707221320112189, -0.6818069499842423, -0.7022100760176331, -0.705510629895063, -0.7049061557287769, -0.70149660702988, -0.6918893223548279, -0.6657965144058535, -0.5960351090263718, -0.4164122575286933]"
mgh31,10,10,ffjm2_psb_ipopt,1.528639216212909,3.057278432425818,0.5529266165076355,4.17320501608524e-8,17,49,18,4.174811816,false,regularization_stalled,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.2107138599625031, 0.2609766875328015, 0.2279476722024721, 0.19702558854514413, 0.20322969383818293, 0.22191597620677075, 0.16281223019516375, 0.04830251506879189, -0.07935660227976044, -0.153125204010568]"
mgh31,10,10,ffjm2_psb_bfgs,1.528639216212909,3.057278432425818,0.5529266165076355,9.109008097825867e-9,17,35,18,0.340179447,true,gradient_converged,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.21071385785740662, 0.2609766858253198, 0.2279476727891209, 0.1970255891553037, 0.2032296939483242, 0.22191597690972045, 0.16281223371837777, 0.0483025229339675, -0.07935659170302364, -0.1531251942409104]"
mgh31,10,10,ffjm2_psb_bobyqa,1.5286392162129088,3.0572784324258175,0.5529266165076354,4.71361378984847e-8,16,43,17,8.78080821,false,regularization_stalled,"[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]","[0.21071385913519386, 0.26097668682790387, 0.22794766999448132, 0.19702558794601138, 0.20322969529134444, 0.22191597911770836, 0.16281223598088784, 0.048302525248545135, -0.07935658495160484, -0.15312518650812462]"
mgh32,10,20,ffjm2_psb_ipopt,5.000000000000002,10.000000000000004,0.7071067811865477,3.8459253727671276e-16,1,3,2,0.000126947,true,gradient_converged,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
mgh32,10,20,ffjm2_psb_bfgs,5.000000000000002,10.000000000000004,0.7071067811865477,3.8459253727671276e-16,1,3,2,7.5631e-5,true,gradient_converged,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
mgh32,10,20,ffjm2_psb_bobyqa,5.000000000000002,10.000000000000004,0.7071067811865477,3.8459253727671276e-16,1,3,2,3.1576e-5,true,gradient_converged,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0]"
mgh33,10,20,ffjm2_psb_ipopt,2.3170731707316996,4.634146341463399,0.4813598623412321,6.326298256744365e-11,4,12,5,0.135206689,true,gradient_converged,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8573329110065546, 0.7146658219984903, 0.5719987330190376, 0.42933164389770617, 0.2866645550587632, 0.1439974660952578, 0.0013303767123763507, -0.1413367121312388, -0.28400380113305274, -0.4266708899548768]"
mgh33,10,20,ffjm2_psb_bfgs,2.317073170731699,4.634146341463398,0.48135986234123207,1.0634305771645159e-7,3,21,4,0.091775765,false,regularization_stalled,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.8573329109914426, 0.7146658219828845, 0.5719987329743296, 0.4293316439657695, 0.28666455495721266, 0.14399746594865193, 0.001330376940091167, -0.14133671206846002, -0.28400380107701384, -0.42667089008556586]"
mgh33,10,20,ffjm2_psb_bobyqa,2.317073170731685,4.63414634146337,0.4813598623412306,7.118793121161869e-6,7,33,8,8.955039726,false,regularization_stalled,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[-1.0895846632231854, 1.0359385523255633, -1.2365964459013374, 0.13359822627260615, 1.2310964741583343, -0.4768622456822951, 0.6484499193031822, 0.7163609530830843, -1.114295955690482, -0.1269407632503964]"
mgh34,10,20,ffjm2_psb_ipopt,3.0675675675675715,6.135135135135143,0.5538562600140556,1.5522017589599086e-10,1,9,2,0.000110638,true,gradient_converged,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.6907118385991626, 0.5360677578987438, 0.38142367719832515, 0.22677959649790647, 0.07213551579748767, -0.0825085649029309, -0.2371526456033497, -0.3917967263037685, 1.0]"
mgh34,10,20,ffjm2_psb_bfgs,3.0675675675675715,6.135135135135143,0.5538562600140556,1.5522017589599086e-10,1,9,2,7.8494e-5,true,gradient_converged,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.6907118385991626, 0.5360677578987438, 0.38142367719832515, 0.22677959649790647, 0.07213551579748767, -0.0825085649029309, -0.2371526456033497, -0.3917967263037685, 1.0]"
mgh34,10,20,ffjm2_psb_bobyqa,3.0675675675675715,6.135135135135143,0.5538562600140556,1.5522017589599086e-10,1,9,2,3.628e-5,true,gradient_converged,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[1.0, 0.6907118385991626, 0.5360677578987438, 0.38142367719832515, 0.22677959649790647, 0.07213551579748767, -0.0825085649029309, -0.2371526456033497, -0.3917967263037685, 1.0]"
