Metodo = MADS
tbeg = 0.0 | tend = 31.0 | dim = 3
x0 = [0.09, 0.09, 0.09]
lower = [0.0, 0.0, 0.0]
upper = [0.5, 0.5, 0.5]
rmsd_tol = 0.09
rhobeg = 0.05
rhoend = 0.0001

iter	f	x1	x2	x3
0	22.1679256727995	0.09	0.09	0.09
1	3.380000000000001e56	0.0	0.19	0.19
2	3.380000000000001e56	0.19	0.0	0.0
3	68.22100907698189	0.19	0.19	0.09
4	3.380000000000001e56	0.0	0.0	0.09
5	3.380000000000001e56	0.0	0.313	0.247
6	3.380000000000001e56	0.045	0.235	0.185
7	58.4099776170891	0.127	0.14	0.054
8	6.405162031888692	0.138	0.091	0.14
9	3.380000000000001e56	0.238	0.094	0.34
10	6.2727818520394125	0.138	0.09	0.14
11	9.791575714125305	0.138	0.09	0.24
12	3.380000000000001e56	0.138	0.0	0.14
13	14.582362444600484	0.238	0.09	0.14
14	60.31639481351579	0.138	0.09	0.04
15	3.380000000000001e56	0.038	0.09	0.24
16	5.909997410693963	0.138	0.087	0.14
17	5.135091564174485	0.138	0.078	0.14
18	2.6532966584108224	0.09	0.078	0.211
19	3.380000000000001e56	0.0	0.078	0.411
20	13.508800899130572	0.09	0.078	0.111
21	3.380000000000001e56	0.0	0.178	0.311
22	3.380000000000001e56	0.19	0.0	0.111
23	36.53881126128662	0.09	0.178	0.111
24	3.380000000000001e56	0.0	0.078	0.424
25	1.3009320305806542	0.107	0.078	0.18
26	30.371233021504022	0.207	0.078	0.08
27	2.717703821967402	0.107	0.098	0.18
28	18.536566703096035	0.107	0.091	0.28
29	1.3442015393928797	0.107	0.081	0.18
30	3.380000000000001e56	0.007	0.088	0.18
31	9.40359450678267	0.107	0.128	0.18
32	19.344346303355266	0.107	0.095	0.28
33	1.4676554404922317	0.207	0.018	0.18
34	23.74910251830361	0.158	0.078	0.087
35	1.4886024003188079	0.09	0.087	0.189
36	1.4930473315345474	0.191	0.031	0.171
37	1.2464136675564297	0.115	0.073	0.185
38	3.380000000000001e56	0.012	0.137	0.183
39	1.2732868734212266	0.158	0.048	0.181
40	1.362710635714495	0.146	0.052	0.184
41	1.2406728728554417	0.117	0.074	0.181
42	1.2089738819232512	0.153	0.052	0.185
43	1.2681280381816995	0.176	0.039	0.187
44	1.4290538439034615	0.099	0.085	0.186
45	1.2212041789196293	0.143	0.057	0.182
46	1.2025417275113304	0.16	0.049	0.18
47	1.217408490787667	0.183	0.037	0.178
48	1.3506260298797947	0.187	0.031	0.184
49	1.1837487853756612	0.135	0.063	0.182
50	1.156562315150391	0.156	0.052	0.183
51	1.1242193734903843	0.162	0.05	0.183
52	1.167803931158983	0.152	0.056	0.178
53	1.1442048550189579	0.139	0.064	0.182
54	1.0886004763300206	0.167	0.05	0.18
55	1.0562896705513367	0.183	0.044	0.179
56	1.073437695060306	0.171	0.049	0.185
57	1.0350301963014974	0.205	0.031	0.183
58	1.0215342605164857	0.238	0.015	0.183
59	1.029051949784218	0.233	0.022	0.182
60	1.0616340326108984	0.265	0.005	0.178
61	1.018853739163184	0.242	0.016	0.18
62	1.4686595988019053	0.292	0.0	0.184
63	1.0164985100532737	0.21	0.031	0.18
64	1.0298062423205796	0.227	0.019	0.18
65	1.0156997715795253	0.232	0.021	0.182
66	1.0432455584506426	0.218	0.03	0.178
67	1.0115387613177795	0.233	0.019	0.182
68	1.0209418454384072	0.208	0.031	0.183
69	1.013824988729741	0.234	0.02	0.181
70	1.050387582951337	0.256	0.009	0.183
71	1.0111243475390796	0.222	0.026	0.181
72	1.0086447126536782	0.227	0.022	0.181
73	1.010677840019984	0.225	0.023	0.18
74	1.0109057156163772	0.221	0.025	0.182
75	1.012532854085385	0.214	0.03	0.181
76	1.0108666088751677	0.228	0.022	0.182
77	1.0129365709489146	0.229	0.02	0.182
78	1.0111637972360632	0.224	0.025	0.181
79	1.034631312087779	0.242	0.01	0.181
80	1.032354302779705	0.194	0.041	0.181
81	1.0102511643528036	0.232	0.02	0.18
82	1.8803818962462213	0.277	0.017	0.178
83	2.1123489174060763	0.222	0.0	0.185
84	6.545912546143836	0.232	0.072	0.177
85	1.0094041514445635	0.228	0.021	0.181
86	1.008908242541962	0.233	0.019	0.181
87	1.013152340642333	0.227	0.021	0.182
88	1.008677646813537	0.231	0.02	0.181
89	1.0687173501916105	0.207	0.033	0.176
90	2.5426783363094647	0.222	0.004	0.161
91	2.892258394708962	0.242	0.04	0.161
92	1.0087168626207246	0.228	0.022	0.181
93	1.0105682442907051	0.225	0.023	0.182
94	1.0089162195910646	0.23	0.021	0.181
95	1.0916053718204073	0.233	0.012	0.181
96	1.1852124954227496	0.227	0.022	0.191
97	1.2400059718919414	0.237	0.028	0.181
98	1.0086646184097918	0.226	0.023	0.181

Resumo final
status = 1
f_final = 1.0086447126536782
RMSD = 0.054627428592207074
avaliacoes = 99
tempo_s = 1035.180775
x_final = [0.227, 0.022, 0.181]
rhobeg = 0.05
rhoend = 0.0001
factivel = true
