Metodo = BFGS
tbeg = 0.0 | tend = 31.0 | dim = 3
x0 = [0.09, 0.09, 0.09]
lower = [0.0, 0.0, 0.0]
upper = [0.5, 0.5, 0.5]
rmsd_tol = 0.09
derivative_tend = 5.0

iter	f	x1	x2	x3
0	22.1679256727995	0.09	0.09	0.09
1	6.176235160811724	0.105202620196826	0.1153551426287064	0.19
2	6.176235160811724	0.105202620196826	0.1153551426287064	0.19
3	3.380000000000001e56	0.06822915619555223	0.015355142628706395	0.23515627594705857
4	3.6701729677633534	0.08671588819618911	0.0653551426287064	0.21257813797352929
5	3.6701729677633534	0.08671588819618911	0.0653551426287064	0.21257813797352929
6	2.255369102283922	0.18671588819618912	0.03393963583155719	0.20779283853363945
7	2.255369102283922	0.18671588819618912	0.03393963583155719	0.20779283853363945
8	3.380000000000001e56	0.2711516920209722	0.0	0.20480535840513767
9	3.380000000000001e56	0.22893379010858067	0.016969817915778593	0.20629909846938857
10	2.1666959141349182	0.2078248391523849	0.025454726873667892	0.207045968501514
11	2.1666959141349182	0.2078248391523849	0.025454726873667892	0.207045968501514
12	3.380000000000001e56	0.26784898616383923	0.0	0.20505934966699524
13	3.380000000000001e56	0.23783691265811208	0.012727363436833946	0.2060526590842546
14	3.380000000000001e56	0.22283087590524847	0.019091045155250917	0.2065493137928843
15	2.146363079316496	0.2153278575288167	0.022272886014459405	0.20679764114719915
16	2.146363079316496	0.2153278575288167	0.022272886014459405	0.20679764114719915
17	3.380000000000001e56	0.2663583234165373	0.0	0.20509013908986626
18	3.380000000000001e56	0.240843090472677	0.011136443007229702	0.2059438901185327
19	3.380000000000001e56	0.22808547400074686	0.016704664510844555	0.2063707656328659
20	3.380000000000001e56	0.22170666576478176	0.01948877526265198	0.20658420339003253
21	3.380000000000001e56	0.21851726164679924	0.02088083063855569	0.20669092226861585
22	2.1432904356931823	0.21692255958780796	0.021576858326507548	0.20674428170790748
23	2.1432904356931823	0.21692255958780796	0.021576858326507548	0.20674428170790748
24	3.380000000000001e56	0.2654277745362157	0.0	0.2051053779877448
25	3.380000000000001e56	0.24117516706201184	0.010788429163253774	0.20592482984782615
26	3.380000000000001e56	0.2290488633249099	0.01618264374488066	0.20633455577786683
27	3.380000000000001e56	0.22298571145635893	0.018879751035694104	0.20653941874288714
28	3.380000000000001e56	0.21995413552208343	0.020228304681100824	0.20664185022539733
29	2.141934913390955	0.2184383475549457	0.020902581503804186	0.2066930659666524
30	2.141934913390955	0.2184383475549457	0.020902581503804186	0.2066930659666524
31	3.380000000000001e56	0.26484065851595906	0.0	0.20512175862748588
32	3.380000000000001e56	0.2416395030354524	0.010451290751902093	0.20590741229706913
33	3.380000000000001e56	0.23003892529519904	0.01567693612785314	0.20630023913186077
34	3.380000000000001e56	0.22423863642507239	0.01828975881582866	0.2064966525492566
35	3.380000000000001e56	0.22133849199000905	0.019596170159816424	0.2065948592579545
36	3.380000000000001e56	0.21988841977247736	0.020249375831810305	0.20664396261230344
37	3.380000000000001e56	0.21916338366371155	0.020575978667807245	0.20666851428947794
38	3.380000000000001e56	0.21880086560932863	0.020739280085805716	0.20668079012806517
39	2.1394888112170833	0.21861960658213717	0.020820930794804952	0.20668692804735878
