Metodo = BFGS_LINESEARCH
tbeg = 0.0 | tend = 31.0 | dim = 2
x0 = [0.25, 0.2]
lower = [0.0, 0.0]
upper = [0.5, 0.5]
rmsd_tol = 0.09
grad_tol = 0.001
bfgs_linesearch_delta = 0.1

iter	f	x1	x2
0	91.28625252938919	0.25	0.2
1	32.024575401590575	0.17503007324016093	0.13501541219302254
2	3.380000000000001e56	0.08558228802037715	0.1762299149190315
3	17.83097894587429	0.13030618063026905	0.15562266355602702
4	3.380000000000001e56	0.056845494658709875	0.16078686458977515
5	8.17090947394439	0.09357583764448946	0.15820476407290107
6	3.380000000000001e56	0.012589505205244364	0.17934384051905702
7	3.380000000000001e56	0.05308267142486691	0.16877430229597903
8	3.380000000000001e56	0.07332925453467819	0.16348953318444007
9	3.380000000000001e56	0.08345254608958382	0.16084714862867056
10	7.210589243686617	0.08851419186703664	0.1595259563507858
11	3.380000000000001e56	0.08598336897831023	0.16018655248972818
12	3.380000000000001e56	0.08724878042267344	0.159856254420257
13	7.095514307674571	0.08788148614485504	0.15969110538552142
14	7.038384009140131	0.08756513328376424	0.1597736799028892
15	7.009914966223046	0.08740695685321884	0.15981496716157312
16	6.995700024459277	0.08732786863794613	0.15983561079091504
17	3.380000000000001e56	0.08728832453030978	0.15984593260558602
