method,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,converged,status,f_x,minimizer
BFGS,2,6.954086388010003e-9,1.1948218909266406e-5,416.074570209,17,9,true,GradientNorm,1.634544931226423e-14,"[0.20000000335526374, 0.15000000013977807]"
BOBYQA,2,1.5575333278765488e-9,2.907061562492378e-6,456.222643424,43,0,true,XTOL_REACHED,8.199576027968145e-16,"[0.19999999973974206, 0.1500000006177949]"
MADS,2,0.0,0.0,1021.497092625,96,0,true,1,0.0,"[0.2, 0.15]"
ffjm2,2,3.044713876598045e-15,1.3586565522324212e-13,200.512905054,11,6,true,gradient_converged,1.5666777577689294e-27,"[0.19999999999999984, 0.15000000000000022]"
