tend	dimension	test	method	model_multistart	sum_fi_squared	RMSD	gradient_norm	external_evaluations	function_evaluations	gradient_evaluations	function_evaluation_time_seconds	gradient_evaluation_time_seconds	total_function_evaluation_time_seconds	total_gradient_evaluation_time_seconds	execution_time_seconds	iterations	converged	status	x0	solution
31.0	10	1	ffjm2_sr1	1	0.6831646743563561	0.04495772749382844	1.008964294901331	195	146	49	9.922810501157537	30.723626579102042	1448.7303331690005	1505.457702376	2958.337351563	48	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[-0.526621480982569, 0.1065833429049772, -0.020604403326274907, 0.18205619523085242, -0.021332571709397355, 0.06842059294271093, 0.02342474773409114, -0.0006614668829009597, 0.12580801326060712, 0.1746154686538626]
31.0	10	1	ffjm2_sr1	10	0.6828559098550993	0.04494756675247003	1.808349276553607	242	182	60	10.03074250781868	30.746928765116664	1825.5951364229995	1844.815725907	3673.006304486	59	true	step_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[-2.1570683282099012, 0.1885660343692973, -0.018613132057738006, 0.18051677374774514, -0.02970372772554694, 0.04503377299629374, 0.05648559702715183, 0.003629594479712033, 0.12786020187257266, 0.17313860926959024]
31.0	10	1	ffjm2_sr1	100	0.714010867438461	0.04596148591688213	1.5177303202186185	153	116	37	8.470392469913794	30.861635988432436	982.56552651	1141.880531572	2138.739631887	36	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[-0.43316969108550024, 0.42630930008080276, -0.008302060032047684, 0.18192043448023748, -0.03306908584623381, 0.06308136257476508, 0.021849457414963195, 0.0009562202626376445, 0.14531033072871333, 0.18142278364411585]
31.0	10	1	ffjm2_sr1	1000	0.7203574558188027	0.04616530164947469	1.3766094955854142	157	121	36	7.904245827545454	30.807524032055554	956.4137451329999	1109.0708651539999	2204.513093218	35	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.12937974255775894, -0.04185417853944885, -0.022566540737979618, 0.18321671924616112, -0.01732263689018572, 0.08233764711769964, -0.014409504441871756, 0.08840018045171957, 0.0687266374735089, 0.15879467304143535]
31.0	10	1	bfgs_puro_penalizado	0	0.82664669410393	0.049454021862877784	7.420354228758724	212	106	106	10.633801229160378	26.92948361610377	1127.182930291	2854.5252633069995	3982.120707595	16	false	GradientCalls	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.4439037861047863, 2.5961088704153294e-5, 0.013934034358442522, 0.16107531780340045, 0.03527787989608802, 0.05955027653180787, 0.011574859674399505, 0.08121432561726229, 0.03167648375781214, 0.1469673930811642]
31.0	10	1	bfgs_backtracking	0	3.380000000000001e56	1.0000000000000002e27	0.0	441	423	18	4.622975188061465	29.97923697872222	1955.51850455	539.626265617	24.079451384	18	true	gradient_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.08657085926163956, 0.09105014320069293, 0.09588989187320586, 0.09741921583377298, 0.09059633700366566, 0.08797125581899873, 0.08836151997127317, 0.08724017364022384, 0.1111114472734133, 0.24880924597087942]
31.0	10	1	sr1_backtracking	0	12.427946302465545	0.19175263205699586	341.0307357302998	110	100	10	4.20397540314	30.283939695799994	420.397540314	302.83939695799995	12.939048784	10	false	function_call_limit	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.08523432285929168, 0.09798876372675287, 0.03738880374419977, 0.15539346757843903, 0.058623263177665, 0.08962485775134, 0.0013921500337294931, 0.10826617407886681, 0.11404014885641672, 0.24038853031502863]
