Metodo = BFGS
tbeg = 0.0 | tend = 5.0 | dim = 1
x0 = [0.09]
lower = [0.0]
upper = [0.5]
rmsd_tol = 0.09
grad_tol = 0.001

iter	f	x1
0	2.100479089231111	0.09
1	0.935431211685822	0.14610828979174004
2	0.9354312116858181	0.14610828979174
3	3.380000000000001e56	0.06590214068773212
4	0.9353458632275551	0.14609764266760406
5	1.3904262466142991	0.10599989167766809
6	1.3896825780832038	0.10602210974232967
7	0.908936947651945	0.13233716901323392
8	1.5453806041764446	0.17661991507337327
9	0.8989022577746772	0.1378626693355516
10	3.380000000000001e56	0.0626486854831211
11	0.8989014145919503	0.13786154752572094
12	1.6042747276938993	0.10025511650442102
13	1.603019435915424	0.1002857085047851
14	0.9198106147261537	0.13032441959513014
15	0.9198045267151153	0.13032537348838424
16	0.898613480367849	0.13683489591478354
17	12.138390920114265	0.3284921576731604
18	0.8986134555354691	0.13683502552180546
19	4.225208483523354	0.23266359159748295
20	2.8911850280254745	0.20922737178413772
21	2.8905253236720037	0.20921438438783463
22	1.4380935335692786	0.17302470495482006
23	1.4379889777552284	0.17302105052409528
24	1.0384473065981306	0.15492803802295038
25	1.038432451687307	0.15492706404328005
26	0.9336305342089619	0.14588104478254274
27	0.9336285781415445	0.14588079487276387
28	0.9070565049870787	0.14135791019728466
29	0.9070562624939394	0.1413578479784804
30	0.898596795278885	0.1369590218450126
31	3.1485846299303635	0.21416460286786665
32	0.8985967868348943	0.13695913128658063
33	1.512893969298558	0.17556186707722363
34	1.5122411274719565	0.17554034913710878
35	1.059294410230579	0.1562497402118447
