method,dimension,RMSD,gradient_norm,execution_time_seconds,function_evaluations,gradient_evaluations,converged,status,f_x,minimizer
BFGS,2,0.20976795022814348,5313.391807628863,3191.258759532,228,32,false,alpha_too_small,7.436438207352953,"[0.08762850579444706, 0.20274039737342758]"
BOBYQA,2,0.1420004462849723,165.04053139509008,722.734158874,67,0,true,SUCCESS,3.4077374199271904,"[0.08719095028907094, 0.150396005624587]"
ffjm2,2,0.1421527638210742,179.6557674643959,806.816136061,53,21,false,regularization_stalled,3.4150519962729478,"[0.0872446373534113, 0.1553298912405757]"
