problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh07,3,3,bfgs_backtracking2,5.236320261563365e-19,1.047264052312673e-18,5.908367096225129e-10,5.028697146926833e-9,29,41,30,5.6233e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999980391, -6.108499822114774e-10, -9.957338127193799e-10]"
mgh07,3,3,bfgs_backtracking3,9.033110049935236e-22,1.806622009987047e-21,2.4539913134775948e-11,7.491281395599371e-10,31,44,32,5.3135e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999982936, -3.1168655282762916e-13, -4.364384216565005e-12]"
mgh08,3,15,bfgs_hagerzhang,0.004107438653289497,0.008214877306578994,0.02340210433070638,3.567466539971795e-9,21,26,26,0.000128074,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.0824105590520042, 1.1330360754349131, 2.3436951932111176]"
mgh08,3,15,bfgs_backtracking1,0.00410743865328949,0.00821487730657898,0.023402104330706358,5.690237562861805e-9,26,38,27,0.000109383,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055976712669, 1.1330360825461252, 2.3436951875231107]"
mgh08,3,15,bfgs_backtracking2,0.004107438653289492,0.008214877306578983,0.023402104330706365,7.394161492709181e-10,27,34,28,0.000100555,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055957207155, 1.1330360875689756, 2.3436951829426325]"
mgh08,3,15,bfgs_backtracking3,0.004107438653289492,0.008214877306578983,0.023402104330706365,1.1610760600787287e-9,21,30,22,8.1405e-5,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055984770385, 1.1330360949244576, 2.3436951761588487]"
mgh09,3,15,bfgs_hagerzhang,5.639663848094776e-9,1.1279327696189553e-8,2.7421801176180425e-5,1.6036775948076807e-11,5,8,8,6.5872e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.398956137831938, 1.0000190843815726, 1.644244402322286e-20]"
mgh09,3,15,bfgs_backtracking1,5.639663848107367e-9,1.1279327696214734e-8,2.7421801176211034e-5,2.9649179027875065e-10,5,7,6,4.132e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.39895613792139545, 1.0000190844820258, 2.3931298729673938e-20]"
mgh09,3,15,bfgs_backtracking2,5.639663848431548e-9,1.1279327696863096e-8,2.742180117699917e-5,1.5521307719980087e-9,4,6,5,3.3073e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561382713217, 1.0000190844570773, 1.225054448470418e-20]"
mgh09,3,15,bfgs_backtracking3,5.639663848431548e-9,1.1279327696863096e-8,2.742180117699917e-5,1.5521307719980087e-9,4,6,5,2.0656e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561382713217, 1.0000190844570773, 1.225054448470418e-20]"
