dimension,line_search,f_x,RMSD,gradient_norm,function_evaluations,gradient_evaluations,execution_time_seconds,iterations,convergence_type,converged,minimizer
3,padrao_hager_zhang,1.0085224721949493,0.05462411826688612,0.0006001658089966447,21,21,577.785791609,13,GradientNorm,true,"[0.22807377908105725, 0.021650448232508685, 0.18091029466666944]"
3,backtracking_ordem_1,1.0085224721186787,0.05462411826482061,0.00027692462312257026,45,14,518.426079345,13,GradientNorm,true,"[0.22807170838072358, 0.021651636232604732, 0.18091027827640166]"
3,backtracking_ordem_2,1.008522472228858,0.0546241182678044,0.0006894989336409445,24,14,470.415281597,13,GradientNorm,true,"[0.22807413663625786, 0.02165025649328777, 0.18091031885908335]"
3,backtracking_ordem_3,1.0085224721156607,0.05462411826473888,0.00019944458504886622,27,14,495.85956837,13,GradientNorm,true,"[0.22807244887927774, 0.021651265898977392, 0.1809101410689172]"
10,padrao_hager_zhang,0.82664669410393,0.04945402186287779,7.420354228758724,106,106,3972.297098879,16,GradientCalls,false,"[0.4439037861047863, 2.5961088704153294e-5, 0.013934034358442522, 0.16107531780340045, 0.03527787989608802, 0.05955027653180787, 0.011574859674399505, 0.08121432561726229, 0.03167648375781214, 0.1469673930811642]"
10,backtracking_ordem_1,15.482459231072875,1.0000000000000002e27,0.0,424,18,2486.921051367,17,NoObjectiveChange,false,"[0.08657103105355522, 0.09105012620120226, 0.09588988579213831, 0.097419222976523, 0.09059634718749451, 0.08797126305698036, 0.08836152555048706, 0.08724017840066058, 0.111111408426927, 0.24880923248534514]"
10,backtracking_ordem_2,0.7821987267380719,0.04810610581189074,1.1939219490270044e6,171,35,2285.679111509,35,alpha_too_small,false,"[0.35193612958770065, 0.003679845572088177, 0.008259280528326824, 0.16692756601538947, 0.023342461887929402, 0.04967649834154077, 0.011768405837762697, 0.06514104385885731, 0.05744090740066633, 0.15483192270670224]"
