Pontos aceitos no BFGS default para assimilacao
Metodo = BFGS() com penalidade externa de caixa
tin = 0.0 | tend = 31.0
x0 = [0.09, 0.09]
lower = 0.0 | upper = 0.5
penalty_weight = 1.0e6

iter	f	f_penalizada	gnorm	x1	x2
0	22.240413038586194	22.240413038586194	523.8448910879548	0.09	0.09
1	8.2930976658459	8.2930976658459	174.47278371660428	0.09176143618850141	0.13729080461117582
2	7.45153271146954	7.45153271146954	145.9804589924899	0.08694049174548962	0.13914929853925376
3	7.451525780689411	7.451525780689411	114.43815284561235	0.08694045445399412	0.13914933425099024
4	6.840211512405565	6.840211512405565	173.10730696930867	0.08727029534503195	0.15327006229555445
5	6.836318563189671	6.836318563189671	170.04602555995623	0.08724649716414039	0.15225695170445974
6	6.836289284188874	6.836289284188874	169.9275832409115	0.08724539636137	0.15221594961911714
7	6.836196644134729	6.836196644134729	169.69501326712938	0.08724282213145482	0.15213535872398423
8	6.8359688905386635	6.8359688905386635	169.3450185597437	0.087237906531217	0.15201385265952486
9	6.835357670318722	6.835357670318722	168.76932550028954	0.08722703032547652	0.15181331943393223
10	6.833772050116829	6.833772050116829	167.83298691465015	0.08720254601623856	0.15149533145817426
11	6.8331921591574964	6.8331921591574964	700.4154344163454	0.08719572393492701	0.15143593216148457
12	6.832589486837007	6.832589486837007	168.34686200113515	0.08720533393421352	0.15169157766106237
13	6.831768637187135	6.831768637187135	168.91660329539482	0.0872091105996105	0.15189962184697003
14	6.830875899786244	6.830875899786244	170.19686969670147	0.0872165304492257	0.1523584118599973
15	6.830388935727526	6.830388935727526	170.03642133437074	0.08721592116219666	0.1525067922281032
16	6.830265362994189	6.830265362994189	134.40673729120473	0.08721538028918215	0.15252382198842257
17	6.830262191877298	6.830262191877298	74.62057842451819	0.0872153489646219	0.15252343341228994
18	6.830220550810165	6.830220550810165	338.51891458039165	0.08721451224699729	0.15247738641347217
19	6.830187242587105	6.830187242587105	153.49149749614864	0.0872123724233704	0.15235320149666753
