Avaliacoes normais de quad_fun no full_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
2.093	1	0.26276702835241766	1.7952092909181672
4.347	2	0.26276702835241766	1.7952092909181672
6.024	3	1.0000000000000002e27	3.380000000000001e56
6.047	4	1.0000000000000002e27	3.380000000000001e56
8.031	5	1.0000000000000002e27	3.380000000000001e56
10.096	6	0.13084214226611926	0.4451113210124722
12.365	7	0.13084214226611926	0.4451113210124722
14.327	8	1.0000000000000002e27	3.380000000000001e56
14.358	9	1.0000000000000002e27	3.380000000000001e56
16.442	10	0.17585106482268045	0.8040135219810347
18.484	11	1.0000000000000002e27	3.380000000000001e56
20.541	12	0.12424053004212748	0.40132844193386835
22.813	13	0.12424053004212748	0.40132844193386835
24.818	14	1.0000000000000002e27	3.380000000000001e56
26.878	15	0.10091317079713298	0.2647701690486146
29.169	16	0.10091317079713298	0.2647701690486146
31.227	17	0.13538295831262767	0.47654218043844576
33.423	18	0.13181679737915936	0.45176736985375715
35.547	19	0.10639452239594853	0.29431465429241177
37.608	20	0.13021118842371093	0.44082879335859404
37.636	21	1.0000000000000002e27	3.380000000000001e56
39.695	22	0.12528144479409423	0.4080814506520877
41.757	23	0.10160945005583594	0.26843648885688487
43.823	24	0.11454087043105964	0.3411098859767246
45.884	25	0.103269103236975	0.277277199767594
47.944	26	0.11050594439300798	0.3175006574009549
50.005	27	0.10468448292243433	0.2849298650831736
52.064	28	0.10518181108097223	0.2876435479391067
54.127	29	0.10713734962515183	0.2984387038022525
56.186	30	0.09989120081368037	0.25943455199997445
58.464	31	0.09989120081368037	0.25943455199997445
60.588	32	0.13387562804903821	0.4659897784236351
62.651	33	0.12425135358891026	0.40139837058558653
64.719	34	0.1294801851288254	0.43589307686586737
66.812	35	0.10603509983767555	0.2923295023372314
68.913	36	0.12791208880737553	0.4253990640397141
70.984	37	0.10198591608332724	0.2704293040632421
73.06	38	0.1224639435206252	0.3899328540281949
75.124	39	0.10038962160280854	0.26202997926443217
77.188	40	0.11236751493291422	0.3282879187171662
79.255	41	0.10214743065475107	0.27128653732354663
81.32	42	0.10856826020340948	0.3064637452134759
83.398	43	0.10373620697640006	0.27979121658411327
85.643	44	0.10375074688970302	0.2798696544844518
87.711	45	0.10665448239729748	0.2957546440013214
89.768	46	0.11221376681363218	0.3273901660251097
91.833	47	0.09595365481401706	0.23938470067635606
94.108	48	0.09595365481401706	0.23938470067635606
96.173	49	0.12958175399111285	0.43657720515274556
98.237	50	0.11983962638576443	0.3733999373592697
100.321	51	0.12485952222700304	0.40533740755964215
102.383	52	0.10239163045994241	0.27258519569438056
104.455	53	0.12331421611361668	0.3953662932886097
106.524	54	0.09827222889933179	0.2510932052939092
108.586	55	0.11763539734753206	0.3597902544369056
110.708	56	0.09630341606300491	0.24113304658051007
112.781	57	0.10794366107508552	0.30294768312361625
114.838	58	0.09800497480613912	0.24972935225555104
116.903	59	0.10432221082711314	0.2829612154682727
118.965	60	0.09952126372754747	0.25751653028212945
121.026	61	0.09974640746255031	0.2586829908438129
123.088	62	0.1022079201227946	0.2716079323315166
125.157	63	0.09547170354294794	0.23698600061220604
127.419	64	0.09547170354294794	0.23698600061220604
129.477	65	0.12944446067709103	0.435652578399557
131.542	66	0.11989350613296902	0.3737357731342633
133.636	67	0.12532547773135058	0.40836835958337253
135.697	68	0.10139050724667807	0.26728090895320566
137.832	69	0.12377978935175747	0.3983573425511018
137.896	70	1.0000000000000002e27	3.380000000000001e56
139.968	71	0.11849713137726305	0.3650808237606488
142.038	72	0.09595176587373434	0.2393752757314862
144.095	73	0.1084032330911742	0.3055327845601055
146.152	74	0.09752788169841307	0.24730388042307105
148.22	75	0.10467976296316216	0.28490417212461916
150.279	76	0.09880174043650014	0.2538063817453202
152.414	77	0.09995459017939418	0.25976392254619673
154.483	78	0.10078744395785197	0.2641108303484859
156.541	79	0.10300762324887897	0.27587483163195775
158.602	80	0.10182690520785047	0.26958668422942267
160.659	81	0.11524013497423817	0.3452875064308964
162.716	82	0.08594889894752095	0.19206754398757037
164.987	83	0.08594889894752095	0.19206754398757037
167.06	84	0.11952163262875899	0.37142093732234466
169.205	85	0.10980510931191112	0.3134862128060195
171.262	86	0.11503641333952813	0.3440677862445919
173.324	87	0.09220240599243466	0.22103337544063753
175.391	88	0.11353599446905442	0.3351509730420061
177.454	89	0.08820370042227742	0.20227721197275442
179.521	90	0.1079635503931201	0.3030593335506823
181.588	91	0.08623969691545971	0.1933694184258291
183.664	92	0.0983539086656745	0.2515107750952119
185.723	93	0.08772529629176021	0.20008891784640506
187.872	94	0.09485431305045881	0.23393085831113547
189.933	95	0.08889399837684751	0.20545571663299717
191.988	96	0.09042362255869349	0.2125872194325636
194.047	97	0.09061488871779394	0.21348750949079265
196.105	98	0.08705937431451205	0.19706270105689236
198.164	99	0.09265151044086369	0.22319186206131028
200.231	100	0.0877359776182802	0.20013764598451944
202.29	101	0.10062147344942862	0.26324170389748575
204.375	102	0.12190995537673015	0.38641296771886474
206.602	103	0.06841836271572714	0.12170788127422084
208.898	104	0.06841836271572714	0.12170788127422084
210.956	105	0.10209410289257258	0.2710033519814191
213.024	106	0.09213335200722036	0.2207024183542458
215.083	107	0.0973667571210524	0.2464874201990202
217.143	108	0.07501736681356078	0.14631773841464857
219.203	109	0.09591546680457765	0.23919419608084097
221.264	110	0.07092246999876069	0.13077991551885287
223.326	111	0.09001209253563586	0.21065659686874066
225.48	112	0.06852890867852274	0.12210149444140204
227.543	113	0.08062181527889616	0.1689968045704758
229.602	114	0.06991906342266654	0.1271055611774745
231.668	115	0.0772512956996908	0.15516182986930777
233.729	116	0.07098802237184597	0.1310217823269083
235.79	117	0.07294530058544788	0.13834643881503492
237.854	118	0.07247796176199403	0.13657942847049978
239.915	119	0.06992965941473181	0.12714408891237014
241.98	120	0.07427175405728785	0.14342362971940262
244.14	121	0.0687075781128619	0.12273901354351054
246.2	122	0.08003651381178876	0.16655193212176098
248.27	123	0.07244959403770806	0.13647253558194633
250.332	124	0.09077904814526366	0.21426172513616254
252.523	125	0.14483465859470823	0.545404036586388
254.586	126	0.18416400774795239	0.8818259254944846
256.647	127	0.1563782407338092	0.6358080085500308
258.706	128	0.1608327736706562	0.6725467082515096
260.77	129	0.10483881591018317	0.28577061035768114
262.827	130	0.10826978404113188	0.3047809995441468
264.9	131	0.11545778938999875	0.346593029401458
266.967	132	0.1423143612371047	0.5265878127724534
269.039	133	0.1163222771756425	0.351802676350502
271.103	134	0.11012867708267496	0.3153364634154825
273.165	135	0.102353905733676	0.27238437249239406
275.243	136	0.1150283532521707	0.3440195733495604
277.303	137	0.11467156402061726	0.3418887574682976
279.362	138	0.11867877943806512	0.36620096991163165
281.425	139	0.11326111354474604	0.33353007587629224
283.5	140	0.1142896639812305	0.339615309616507
285.564	141	0.10654152684372215	0.29512852049698074
287.625	142	0.10412196653014068	0.28187598176669715
289.801	143	0.10441977470212481	0.28349072306990514
291.881	144	0.10872685939130293	0.3073597787805001
293.955	145	0.11190670969899819	0.32560090356705224
296.016	146	0.10908322529272046	0.3093779010468226
298.08	147	0.0969788048829233	0.24452710350952284
300.143	148	0.09201415480424731	0.22013172179283969
302.287	149	0.09114650029813352	0.21599979743153902
304.35	150	0.0922365700465521	0.22119720620276528
306.408	151	0.09303576762848251	0.2250470055137458
308.469	152	0.09091830327084346	0.21491958461087565
310.533	153	0.08565380686967733	0.19075094041296756
312.595	154	0.08171146066953303	0.1735958329234647
314.66	155	0.08023120824299283	0.16736321617939254
316.75	156	0.07762150584437116	0.1566525524082414
318.808	157	0.07716633517621557	0.15482072539772915
320.872	158	0.07517404420708299	0.14692955998366014
323.004	159	0.07556098506060344	0.14844602404654714
325.065	160	0.08384100323378929	0.1827621594044549
327.19	161	0.08719481794437006	0.1976763431851478
329.252	162	0.08461981383821268	0.18617333524435803
331.309	163	0.07619245304763599	0.1509375374368216
333.368	164	0.0766002763240106	0.15255766065578424
335.427	165	0.07998213924684362	0.16632570756103857
337.496	166	0.08159183646521373	0.1730879222219207
339.556	167	0.08095714427542293	0.1704055394400227
341.619	168	0.07982873995672657	0.1656883208000455
343.685	169	0.07671427379932312	0.15301207491849533
345.754	170	0.07371970979836036	0.14129948593161618
347.947	171	0.07297382890120029	0.138454672317043
350.008	172	0.07296471194433078	0.13842007891709834
352.068	173	0.07320761997456808	0.13934324618086028
354.129	174	0.07283271798886946	0.1379197250508009
356.2	175	0.07316906093040293	0.1391964984133624
358.257	176	0.07454253684302774	0.14447133477384783
360.331	177	0.07473911223837588	0.14523430735269427
362.399	178	0.07255722201752658	0.13687831213941676
364.46	179	0.0729380982856721	0.13831912071978944
366.521	180	0.0710012045075197	0.13107044707948454
368.582	181	0.072544555055609	0.1368305241736234
370.644	182	0.06982643561564056	0.1267690088804151
372.707	183	0.07304669105118622	0.13873129591171368
374.768	184	0.06853904176599329	0.12213760640121492
376.825	185	0.07648231083672767	0.1520881406440716
378.889	186	0.06743138597637952	0.11822178718208225
381.391	187	0.06743138597637952	0.11822178718208225
383.452	188	0.09695075433241439	0.24438566790622834
385.518	189	0.08825214561456403	0.20249947134492954
387.586	190	0.09263105486283309	0.22309332045003108
389.644	191	0.07321594603048935	0.13937494358162777
391.777	192	0.0912739839195435	0.2166044436541722
393.841	193	0.06961105379547565	0.12598816907343172
395.912	194	0.08624913945508082	0.19341176547529149
397.976	195	0.0675572986103923	0.11866370348387653
400.037	196	0.07809243864913129	0.1585591533283767
402.105	197	0.06881879912987089	0.12313670495561549
404.301	198	0.07511308611289368	0.14669136834047752
406.377	199	0.06980763707721063	0.12670076105189237
408.44	200	0.0712899273250072	0.13213859718812504
410.495	201	0.07121597272480633	0.13186458404964932
412.558	202	0.06858479398434841	0.12230072311276335
414.621	203	0.07290433032634562	0.13819107588865587
416.686	204	0.06805452695377315	0.12041688461144774
418.746	205	0.07861758514126309	0.16069884202953752
420.804	206	0.07189265346401762	0.1343823941745304
422.868	207	0.08969295105086816	0.20916546217354925
424.934	208	0.08773654246641156	0.20014022298297143
426.998	209	0.14445503318063893	0.5425486718917069
429.094	210	0.18420568197690806	0.8822250650870226
431.159	211	0.15623155755407692	0.6346157889700941
433.23	212	0.16097678247993522	0.6737516369374017
435.427	213	0.10457195645744267	0.2843176460107694
437.493	214	0.10810436468488743	0.3038503952620015
439.56	215	0.11526531069085241	0.34543838806512717
441.627	216	0.14239224877320322	0.5271643652779346
443.709	217	0.11620520050612167	0.35109486424136643
445.774	218	0.10999193851922658	0.31455389001965034
447.839	219	0.10210297200775383	0.27105043921322014
449.994	220	0.11499185983868614	0.34380132355816095
452.229	221	0.11461617895135859	0.3415585804126562
454.31	222	0.11868722041344	0.36625306352618076
456.371	223	0.11317909553118607	0.3330471992966909
458.436	224	0.11425193672267082	0.3393911311669106
460.506	225	0.1064348333585536	0.29453771755363994
462.57	226	0.10403439121374357	0.2814020184355704
464.635	227	0.10433990425660646	0.28305720612722285
466.701	228	0.10870298201935001	0.3072247957973774
468.771	229	0.11192176452017316	0.32568851570603635
470.843	230	0.10910900066538837	0.3095241246811927
472.911	231	0.09678978216298181	0.2435748102100943
474.973	232	0.0917222560531691	0.21873727864256098
477.036	233	0.0908609297244196	0.2146484223100338
479.103	234	0.09199288758712622	0.22002997553205864
481.171	235	0.0928430638687165	0.2241156972217949
483.231	236	0.09073283619101871	0.21404363664492215
485.373	237	0.08536637907404322	0.18947288558154435
487.44	238	0.08129113707951678	0.17181447315970047
489.511	239	0.07976819704773983	0.1654370967664233
491.592	240	0.0770488504325606	0.15434965917745647
493.666	241	0.07658646268955274	0.15250264294975463
495.732	242	0.07449567853282608	0.14428975912172032
497.795	243	0.0748794870629554	0.14578037715309392
499.856	244	0.08349040264691045	0.18123683068772403
501.921	245	0.08700372965222299	0.19681087330832475
503.988	246	0.084405602118731	0.18523194739466364
506.052	247	0.07558504902233557	0.14854059052843063
508.127	248	0.07599456191564631	0.15015450945952602
510.192	249	0.07950805156761426	0.16435978686603858
512.262	250	0.08117883074408713	0.17134006658540582
514.328	251	0.08050446297965523	0.16850518255070968
516.518	252	0.07940209606778152	0.16392201435888737
518.596	253	0.07624631120856672	0.15115099929575376
520.66	254	0.07311756655284948	0.1390006420038697
522.727	255	0.0723351711645108	0.13604180167237595
524.783	256	0.07228611794337364	0.1358573540304064
526.847	257	0.07253724140689835	0.13680293616398886
528.981	258	0.07214379101432972	0.1353228911299013
531.048	259	0.07258708043495303	0.13699099039782883
533.123	260	0.07413338345833503	0.1428897221174941
535.188	261	0.07435704424287398	0.1437532207419547
537.283	262	0.07212404484604973	0.13524882396882978
539.344	263	0.07224068260228918	0.13568662179396188
541.407	264	0.0706640837895733	0.12982873118331573
543.474	265	0.0714476681021212	0.1327240012080026
545.541	266	0.06971282616493889	0.12635683142947768
547.607	267	0.07099939621042181	0.13106377081835593
549.671	268	0.06862415633815258	0.12244114566120341
551.739	269	0.07099076125891125	0.1310318927871131
553.797	270	1.0000000000000002e27	3.380000000000001e56
555.861	271	0.06773359868724424	0.11928385016924105
557.696	272	1.0000000000000002e27	3.380000000000001e56
559.753	273	0.06806825248000771	0.12046546188773397
561.319	274	1.0000000000000002e27	3.380000000000001e56
563.38	275	0.07323224495657135	0.13943700423586103
564.724	276	1.0000000000000002e27	3.380000000000001e56
566.803	277	0.09002654646937838	0.21072425579928175
566.817	278	1.0000000000000002e27	3.380000000000001e56
568.884	279	0.12428921112534674	0.40164300805618647
568.895	280	1.0000000000000002e27	3.380000000000001e56
570.964	281	0.18541818042713187	0.8938774424556193
570.971	282	1.0000000000000002e27	3.380000000000001e56
573.1	283	0.27019151123055096	1.8980897712672726
573.108	284	1.0000000000000002e27	3.380000000000001e56
575.186	285	0.41075264424178987	4.386661103542182
575.273	286	1.0000000000000002e27	3.380000000000001e56
