Avaliacoes normais de quad_fun no two_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
2.109	1	1.0000000000000002e27	3.380000000000001e56
2.116	2	1.0000000000000002e27	3.380000000000001e56
3.554	3	1.0000000000000002e27	3.380000000000001e56
3.563	4	1.0000000000000002e27	3.380000000000001e56
3.569	5	1.0000000000000002e27	3.380000000000001e56
3.574	6	1.0000000000000002e27	3.380000000000001e56
5.173	7	1.0000000000000002e27	3.380000000000001e56
7.324	8	1.0000000000000002e27	3.380000000000001e56
7.331	9	1.0000000000000002e27	3.380000000000001e56
8.827	10	1.0000000000000002e27	3.380000000000001e56
10.682	11	1.0000000000000002e27	3.380000000000001e56
12.721	12	1.0000000000000002e27	3.380000000000001e56
14.98	13	1.0000000000000002e27	3.380000000000001e56
14.988	14	1.0000000000000002e27	3.380000000000001e56
15.001	15	1.0000000000000002e27	3.380000000000001e56
17.007	16	1.0000000000000002e27	3.380000000000001e56
19.172	17	1.0000000000000002e27	3.380000000000001e56
21.227	18	1.0000000000000002e27	3.380000000000001e56
