Avaliacoes normais de quad_fun no full_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
6.053	1	0.42324243655370525	26.153587374587914
12.269	2	0.42324243655370525	26.153587374587914
18.278	3	0.394272476399254	22.695814704316046
24.574	4	0.394272476399254	22.695814704316046
30.574	5	0.426671481962167	26.579088813889598
36.581	6	0.3911171648657121	22.33400495127852
42.801	7	0.3911171648657121	22.33400495127852
48.802	8	0.4120895339624044	24.79339646419734
55.016	9	0.4073560883942541	24.22709148177263
61.017	10	0.41262701611207664	24.85811394613117
67.027	11	0.3905036791259342	22.263996017990024
73.328	12	0.3905036791259342	22.263996017990024
79.324	13	0.40792864105858284	24.29524332460171
85.316	14	0.40343373378297087	23.762781522894073
91.324	15	0.39275776692965897	22.521764868601558
97.328	16	0.4050003897056659	23.947696086614222
103.318	17	0.4061678780811769	24.085962397005
109.306	18	0.39053746067288	22.267848195567908
115.295	19	0.40009355443511774	23.37092843587687
121.283	20	0.3909174514930819	22.311202266749522
127.271	21	0.398560775917433	23.19220104658631
133.252	22	0.3905380415709614	22.26791443945597
139.238	23	0.3966039021125172	22.965019654947774
145.225	24	0.3897855188454676	22.182181602438035
151.424	25	0.3897855188454676	22.182181602438035
157.407	26	0.4065600980984075	24.132502551404862
163.422	27	0.4022357316765659	23.62186324025782
169.41	28	0.3924840883969986	22.49038890814416
175.398	29	0.4039406830823505	23.822539015559244
181.475	30	0.39085330617817843	22.30388081476028
187.472	31	0.4043526572283281	23.87115642551103
193.461	32	0.3897151296666134	22.174170814495536
199.667	33	0.3897151296666134	22.174170814495536
205.654	34	0.40515874530619633	23.966426899121323
211.638	35	0.4010582935570122	23.48377220530594
217.624	36	0.39230536423397366	22.469910825785607
223.611	37	0.4025990965682124	23.66456075340096
229.843	38	0.3906479081408224	22.28044506768086
235.848	39	0.4013448039324444	23.51733713996155
241.873	40	0.40013920490789806	23.37626196243142
247.857	41	0.38999199847937227	22.205688796178464
253.837	42	0.39845009702682815	23.179322053820563
259.825	43	0.38987754584023937	22.192657109559565
265.807	44	0.3960969065228726	22.906342866120433
271.838	45	0.3906885996700978	22.285086959178557
277.838	46	0.3977764840538419	23.101015164870507
283.819	47	0.3882817686752766	22.011358855297747
290.016	48	0.3882817686752766	22.011358855297747
