Pontos avaliados pelo MADS no two_dim_problem
Metodo = NOMAD MADS
tmax = 15.0
x0 = [0.1, 0.06]
lb = 0.0 | ub = 0.5
rhobeg = 0.05 | rhoend = 0.001 | maxeval = 500

iter	f	x1	x2
0	26.153587374587893	0.1	0.06
1	3.380000000000001e56	0.0	0.16
2	3.380000000000001e56	0.2	0.0
3	3.380000000000001e56	0.0	0.22
4	3.380000000000001e56	0.0	0.165
5	3.380000000000001e56	0.099	0.11
6	31.29681937657736	0.15	0.061
7	3.380000000000001e56	0.051	0.009
8	27.105780566428546	0.115	0.06
9	3.380000000000001e56	0.065	0.059
10	28.05396633512391	0.129	0.061
11	26.60871663350844	0.086	0.059
12	3.380000000000001e56	0.071	0.059
13	26.336755283349227	0.104	0.06
14	26.809780338044202	0.118	0.061
15	25.981785233298396	0.094	0.06
16	3.380000000000001e56	0.076	0.06
17	25.316104477398675	0.086	0.061
18	23.460592828712723	0.086	0.064
19	18.44302037403678	0.086	0.073
20	3.380000000000001e56	0.0	0.173
21	3.380000000000001e56	0.186	0.0
22	3.380000000000001e56	0.086	0.1
23	16.365276493289187	0.078	0.077
24	3.380000000000001e56	0.07	0.086
25	12.208176456811334	0.078	0.086
26	3.380000000000001e56	0.074	0.097
27	3.380000000000001e56	0.07	0.09
28	16.37847536478066	0.082	0.077
29	3.380000000000001e56	0.074	0.086
30	15.393794596258715	0.08	0.079
31	11.416101985393487	0.08	0.088
32	3.380000000000001e56	0.081	0.094
33	3.380000000000001e56	0.078	0.095
34	13.552011848350851	0.08	0.083
35	3.380000000000001e56	0.078	0.091
36	12.677484982186213	0.08	0.085
37	3.380000000000001e56	0.078	0.089
38	12.250883966805908	0.08	0.086
39	11.361870330032525	0.078	0.088
40	3.380000000000001e56	0.077	0.089
41	3.380000000000001e56	0.08	0.09
42	11.804716437011628	0.079	0.087
43	3.380000000000001e56	0.079	0.089
44	11.387113405159074	0.079	0.088
45	3.380000000000001e56	0.072	0.088
46	3.380000000000001e56	0.089	0.138
47	3.380000000000001e56	0.028	0.099
48	11.782535476085783	0.078	0.087
49	3.380000000000001e56	0.089	0.108
50	3.380000000000001e56	0.058	0.099
51	3.380000000000001e56	0.081	0.098
52	3.380000000000001e56	0.068	0.091

Resumo final
status_mads = 1
solucao_factivel = true
f_final = 11.36187
x_final = [0.078, 0.088]
avaliacoes_mads = 53
