Avaliacoes normais de quad_fun no two_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
5.447	1	0.41441393635462426	4.465211676768299
5.452	2	1.0000000000000002e27	3.380000000000001e56
10.504	3	0.41433000946156184	4.463403275250866
15.55	4	0.26109861133762163	1.7724846059032946
15.556	5	1.0000000000000002e27	3.380000000000001e56
20.604	6	0.26107815110972615	1.7722068256586978
20.612	7	1.0000000000000002e27	3.380000000000001e56
25.666	8	0.1484310115310797	0.5728258947876274
25.678	9	1.0000000000000002e27	3.380000000000001e56
25.701	10	1.0000000000000002e27	3.380000000000001e56
30.847	11	0.11859900211243245	0.36570880585368365
30.861	12	1.0000000000000002e27	3.380000000000001e56
30.879	13	1.0000000000000002e27	3.380000000000001e56
35.954	14	0.09164079956528128	0.21834893976906547
35.968	15	1.0000000000000002e27	3.380000000000001e56
35.984	16	1.0000000000000002e27	3.380000000000001e56
36.005	17	1.0000000000000002e27	3.380000000000001e56
36.036	18	1.0000000000000002e27	3.380000000000001e56
41.216	19	0.08653825812732546	0.19471062311250192
41.246	20	1.0000000000000002e27	3.380000000000001e56
46.299	21	0.08400062584674535	0.1834587337087675
46.33	22	1.0000000000000002e27	3.380000000000001e56
51.386	23	0.0827355707470446	0.17797454133781976
